"ZIPCODE":"55413","TOTALCUSTOMERS":8209,"CUSTOMERSOUT":29
"ZIPCODE":"55418","TOTALCUSTOMERS":15170,"CUSTOMERSOUT":6
"ZIPCODE":"55435","TOTALCUSTOMERS":8114,"CUSTOMERSOUT":1
"ZIPCODE":"57104","TOTALCUSTOMERS":12665,"CUSTOMERSOUT":2
"ZIPCODE":"79007","TOTALCUSTOMERS":8191,"CUSTOMERSOUT":40
"ZIPCODE":"79100","TOTALCUSTOMERS":1,"CUSTOMERSOUT":1
"ZIPCODE":"79101","TOTALCUSTOMERS":2179,"CUSTOMERSOUT":4
"ZIPCODE":"79104","TOTALCUSTOMERS":3054,"CUSTOMERSOUT":1
"ZIPCODE":"79106","TOTALCUSTOMERS":14231,"CUSTOMERSOUT":663
"ZIPCODE":"79107","TOTALCUSTOMERS":12898,"CUSTOMERSOUT":2
"ZIPCODE":"79109","TOTALCUSTOMERS":22175,"CUSTOMERSOUT":164
"ZIPCODE":"79110","TOTALCUSTOMERS":8749,"CUSTOMERSOUT":4
"ZIPCODE":"79118","TOTALCUSTOMERS":13704,"CUSTOMERSOUT":113
"ZIPCODE":"79120","TOTALCUSTOMERS":62,"CUSTOMERSOUT":1
"ZIPCODE":"79121","TOTALCUSTOMERS":3153,"CUSTOMERSOUT":1
"ZIPCODE":"79323","TOTALCUSTOMERS":3789,"CUSTOMERSOUT":1
"ZIPCODE":"79359","TOTALCUSTOMERS":1753,"CUSTOMERSOUT":1
"ZIPCODE":"79360","TOTALCUSTOMERS":7920,"CUSTOMERSOUT":424
"ZIPCODE":null,"TOTALCUSTOMERS":null,"CUSTOMERSOUT":1
"ZIPCODE":"80002","TOTALCUSTOMERS":11350,"CUSTOMERSOUT":2
"ZIPCODE":"80016","TOTALCUSTOMERS":20756,"CUSTOMERSOUT":2
"ZIPCODE":"80017","TOTALCUSTOMERS":15544,"CUSTOMERSOUT":1
"ZIPCODE":"80019","TOTALCUSTOMERS":3460,"CUSTOMERSOUT":1
"ZIPCODE":"80210","TOTALCUSTOMERS":19002,"CUSTOMERSOUT":19
"ZIPCODE":"80216","TOTALCUSTOMERS":9496,"CUSTOMERSOUT":2
"ZIPCODE":"80222","TOTALCUSTOMERS":12467,"CUSTOMERSOUT":1
"ZIPCODE":"80301","TOTALCUSTOMERS":15283,"CUSTOMERSOUT":11
"ZIPCODE":"80403","TOTALCUSTOMERS":7581,"CUSTOMERSOUT":1
"ZIPCODE":"80439","TOTALCUSTOMERS":9737,"CUSTOMERSOUT":1
"ZIPCODE":"80466","TOTALCUSTOMERS":1865,"CUSTOMERSOUT":1
"ZIPCODE":"80470","TOTALCUSTOMERS":1,"CUSTOMERSOUT":1
"ZIPCODE":"81201","TOTALCUSTOMERS":5941,"CUSTOMERSOUT":72
"ZIPCODE":"81227","TOTALCUSTOMERS":44,"CUSTOMERSOUT":44
"ZIPCODE":"81230","TOTALCUSTOMERS":1,"CUSTOMERSOUT":1
"ZIPCODE":"81242","TOTALCUSTOMERS":884,"CUSTOMERSOUT":2
"ZIPCODE":"81248","TOTALCUSTOMERS":33,"CUSTOMERSOUT":33
"ZIPCODE":"88210","TOTALCUSTOMERS":6843,"CUSTOMERSOUT":1
"ZIPCODE":"88220","TOTALCUSTOMERS":21659,"CUSTOMERSOUT":199
"ZIPCODE":"88231","TOTALCUSTOMERS":3412,"CUSTOMERSOUT":121
"ZIPCODE":"88240","TOTALCUSTOMERS":21105,"CUSTOMERSOUT":13
"ZIPCODE":"88252","TOTALCUSTOMERS":2775,"CUSTOMERSOUT":15
"ZIPCODE":"88254","TOTALCUSTOMERS":9,"CUSTOMERSOUT":1
"ZIPCODE":"88256","TOTALCUSTOMERS":1587,"CUSTOMERSOUT":20
"ZIPCODE":null,"TOTALCUSTOMERS":null,"CUSTOMERSOUT":1
