"ZIPCODE":"88256","TOTALCUSTOMERS":1580,"CUSTOMERSOUT":300
"ZIPCODE":"88263","TOTALCUSTOMERS":86,"CUSTOMERSOUT":3
"ZIPCODE":"55014","TOTALCUSTOMERS":7368,"CUSTOMERSOUT":2
"ZIPCODE":"55025","TOTALCUSTOMERS":7543,"CUSTOMERSOUT":7
"ZIPCODE":"55076","TOTALCUSTOMERS":9908,"CUSTOMERSOUT":5
"ZIPCODE":"55106","TOTALCUSTOMERS":20538,"CUSTOMERSOUT":3
"ZIPCODE":"55116","TOTALCUSTOMERS":12551,"CUSTOMERSOUT":38
"ZIPCODE":"55126","TOTALCUSTOMERS":13356,"CUSTOMERSOUT":2
"ZIPCODE":"55130","TOTALCUSTOMERS":5586,"CUSTOMERSOUT":1
"ZIPCODE":"55311","TOTALCUSTOMERS":6732,"CUSTOMERSOUT":1
"ZIPCODE":"55316","TOTALCUSTOMERS":6593,"CUSTOMERSOUT":1
"ZIPCODE":"55345","TOTALCUSTOMERS":9583,"CUSTOMERSOUT":165
"ZIPCODE":"55369","TOTALCUSTOMERS":14123,"CUSTOMERSOUT":1
"ZIPCODE":"55408","TOTALCUSTOMERS":19414,"CUSTOMERSOUT":2
"ZIPCODE":"55418","TOTALCUSTOMERS":15188,"CUSTOMERSOUT":2
"ZIPCODE":"55426","TOTALCUSTOMERS":12832,"CUSTOMERSOUT":1
"ZIPCODE":"55427","TOTALCUSTOMERS":11714,"CUSTOMERSOUT":2
"ZIPCODE":"55428","TOTALCUSTOMERS":14095,"CUSTOMERSOUT":24
"ZIPCODE":"55430","TOTALCUSTOMERS":9191,"CUSTOMERSOUT":2
"ZIPCODE":"55439","TOTALCUSTOMERS":4689,"CUSTOMERSOUT":2
"ZIPCODE":"55446","TOTALCUSTOMERS":7154,"CUSTOMERSOUT":13
"ZIPCODE":"55447","TOTALCUSTOMERS":10161,"CUSTOMERSOUT":1
"ZIPCODE":"56021","TOTALCUSTOMERS":518,"CUSTOMERSOUT":27
"ZIPCODE":"56065","TOTALCUSTOMERS":1016,"CUSTOMERSOUT":1
"ZIPCODE":"56228","TOTALCUSTOMERS":324,"CUSTOMERSOUT":1
"ZIPCODE":"56243","TOTALCUSTOMERS":39,"CUSTOMERSOUT":1
"ZIPCODE":"56304","TOTALCUSTOMERS":6531,"CUSTOMERSOUT":1
"ZIPCODE":"58103","TOTALCUSTOMERS":23046,"CUSTOMERSOUT":1
"ZIPCODE":"79007","TOTALCUSTOMERS":8196,"CUSTOMERSOUT":1
"ZIPCODE":"79031","TOTALCUSTOMERS":752,"CUSTOMERSOUT":1
"ZIPCODE":"79045","TOTALCUSTOMERS":7088,"CUSTOMERSOUT":58
"ZIPCODE":"79072","TOTALCUSTOMERS":11025,"CUSTOMERSOUT":1
"ZIPCODE":"79082","TOTALCUSTOMERS":343,"CUSTOMERSOUT":1
"ZIPCODE":"79109","TOTALCUSTOMERS":22187,"CUSTOMERSOUT":1
"ZIPCODE":"79313","TOTALCUSTOMERS":648,"CUSTOMERSOUT":1
"ZIPCODE":"79336","TOTALCUSTOMERS":7323,"CUSTOMERSOUT":3
"ZIPCODE":"79360","TOTALCUSTOMERS":7906,"CUSTOMERSOUT":1
"ZIPCODE":"54016","TOTALCUSTOMERS":12315,"CUSTOMERSOUT":50
"ZIPCODE":"54420","TOTALCUSTOMERS":200,"CUSTOMERSOUT":24
"ZIPCODE":"54601","TOTALCUSTOMERS":22504,"CUSTOMERSOUT":1
"ZIPCODE":"54742","TOTALCUSTOMERS":751,"CUSTOMERSOUT":1
"ZIPCODE":"54805","TOTALCUSTOMERS":742,"CUSTOMERSOUT":1
"ZIPCODE":"80010","TOTALCUSTOMERS":15290,"CUSTOMERSOUT":551
