"ZIPCODE":"55305","TOTALCUSTOMERS":12161,"CUSTOMERSOUT":3
"ZIPCODE":"55378","TOTALCUSTOMERS":4256,"CUSTOMERSOUT":1
"ZIPCODE":"55412","TOTALCUSTOMERS":9279,"CUSTOMERSOUT":1
"ZIPCODE":"55416","TOTALCUSTOMERS":21977,"CUSTOMERSOUT":15
"ZIPCODE":"55429","TOTALCUSTOMERS":11326,"CUSTOMERSOUT":46
"ZIPCODE":"79036","TOTALCUSTOMERS":2733,"CUSTOMERSOUT":1
"ZIPCODE":"79046","TOTALCUSTOMERS":321,"CUSTOMERSOUT":0
"ZIPCODE":"79360","TOTALCUSTOMERS":8050,"CUSTOMERSOUT":25
"ZIPCODE":"79382","TOTALCUSTOMERS":1682,"CUSTOMERSOUT":1
"ZIPCODE":"54656","TOTALCUSTOMERS":7657,"CUSTOMERSOUT":1
"ZIPCODE":"80004","TOTALCUSTOMERS":15399,"CUSTOMERSOUT":283
"ZIPCODE":"80007","TOTALCUSTOMERS":7217,"CUSTOMERSOUT":1
"ZIPCODE":"80010","TOTALCUSTOMERS":15639,"CUSTOMERSOUT":1
"ZIPCODE":"80022","TOTALCUSTOMERS":10756,"CUSTOMERSOUT":48
"ZIPCODE":"80026","TOTALCUSTOMERS":15660,"CUSTOMERSOUT":1
"ZIPCODE":"80030","TOTALCUSTOMERS":6803,"CUSTOMERSOUT":288
"ZIPCODE":"80033","TOTALCUSTOMERS":15209,"CUSTOMERSOUT":2
"ZIPCODE":"80204","TOTALCUSTOMERS":18310,"CUSTOMERSOUT":16
"ZIPCODE":"80206","TOTALCUSTOMERS":14662,"CUSTOMERSOUT":8
"ZIPCODE":"80215","TOTALCUSTOMERS":10463,"CUSTOMERSOUT":30
"ZIPCODE":"80218","TOTALCUSTOMERS":12236,"CUSTOMERSOUT":11
"ZIPCODE":"80220","TOTALCUSTOMERS":17777,"CUSTOMERSOUT":1
"ZIPCODE":"80221","TOTALCUSTOMERS":16739,"CUSTOMERSOUT":1
"ZIPCODE":"80223","TOTALCUSTOMERS":10925,"CUSTOMERSOUT":11
"ZIPCODE":"80224","TOTALCUSTOMERS":9306,"CUSTOMERSOUT":0
"ZIPCODE":"80234","TOTALCUSTOMERS":13761,"CUSTOMERSOUT":1
"ZIPCODE":"80239","TOTALCUSTOMERS":15465,"CUSTOMERSOUT":5
"ZIPCODE":"80302","TOTALCUSTOMERS":13142,"CUSTOMERSOUT":1
"ZIPCODE":"80610","TOTALCUSTOMERS":1901,"CUSTOMERSOUT":1
"ZIPCODE":"80615","TOTALCUSTOMERS":3984,"CUSTOMERSOUT":6
"ZIPCODE":"81101","TOTALCUSTOMERS":7480,"CUSTOMERSOUT":1
"ZIPCODE":"88101","TOTALCUSTOMERS":19569,"CUSTOMERSOUT":7
"ZIPCODE":"88203","TOTALCUSTOMERS":13002,"CUSTOMERSOUT":1
"ZIPCODE":"88231","TOTALCUSTOMERS":3398,"CUSTOMERSOUT":19
"ZIPCODE":"88240","TOTALCUSTOMERS":21266,"CUSTOMERSOUT":2
"ZIPCODE":"88252","TOTALCUSTOMERS":2805,"CUSTOMERSOUT":2
"ZIPCODE":"88254","TOTALCUSTOMERS":9,"CUSTOMERSOUT":1
