"ZIPCODE":"55345","TOTALCUSTOMERS":9673,"CUSTOMERSOUT":5
"ZIPCODE":"55362","TOTALCUSTOMERS":6818,"CUSTOMERSOUT":1
"ZIPCODE":"55391","TOTALCUSTOMERS":8186,"CUSTOMERSOUT":1
"ZIPCODE":"79336","TOTALCUSTOMERS":7293,"CUSTOMERSOUT":1
"ZIPCODE":"54724","TOTALCUSTOMERS":544,"CUSTOMERSOUT":192
"ZIPCODE":"54729","TOTALCUSTOMERS":16308,"CUSTOMERSOUT":323
"ZIPCODE":"80012","TOTALCUSTOMERS":22527,"CUSTOMERSOUT":1
"ZIPCODE":"80016","TOTALCUSTOMERS":21418,"CUSTOMERSOUT":1
"ZIPCODE":"80111","TOTALCUSTOMERS":15993,"CUSTOMERSOUT":148
"ZIPCODE":"80120","TOTALCUSTOMERS":14800,"CUSTOMERSOUT":26
"ZIPCODE":"80121","TOTALCUSTOMERS":7643,"CUSTOMERSOUT":13
"ZIPCODE":"80204","TOTALCUSTOMERS":19289,"CUSTOMERSOUT":1
"ZIPCODE":"80301","TOTALCUSTOMERS":15329,"CUSTOMERSOUT":1
"ZIPCODE":"81201","TOTALCUSTOMERS":6248,"CUSTOMERSOUT":23
