"ZIPCODE":"55369","TOTALCUSTOMERS":14730,"CUSTOMERSOUT":5
"ZIPCODE":"55430","TOTALCUSTOMERS":9213,"CUSTOMERSOUT":30
"ZIPCODE":"55432","TOTALCUSTOMERS":15702,"CUSTOMERSOUT":7
"ZIPCODE":"55441","TOTALCUSTOMERS":9723,"CUSTOMERSOUT":2
"ZIPCODE":"58201","TOTALCUSTOMERS":17826,"CUSTOMERSOUT":8
"ZIPCODE":"79364","TOTALCUSTOMERS":3202,"CUSTOMERSOUT":7
"ZIPCODE":"54016","TOTALCUSTOMERS":12371,"CUSTOMERSOUT":1
"ZIPCODE":"54603","TOTALCUSTOMERS":8293,"CUSTOMERSOUT":1
"ZIPCODE":"54659","TOTALCUSTOMERS":377,"CUSTOMERSOUT":3
"ZIPCODE":"80112","TOTALCUSTOMERS":17995,"CUSTOMERSOUT":1
"ZIPCODE":"80219","TOTALCUSTOMERS":21038,"CUSTOMERSOUT":1
"ZIPCODE":"80221","TOTALCUSTOMERS":16742,"CUSTOMERSOUT":1
"ZIPCODE":"80222","TOTALCUSTOMERS":12564,"CUSTOMERSOUT":13
"ZIPCODE":"80228","TOTALCUSTOMERS":16816,"CUSTOMERSOUT":36
"ZIPCODE":"80231","TOTALCUSTOMERS":18915,"CUSTOMERSOUT":1
"ZIPCODE":"80440","TOTALCUSTOMERS":2152,"CUSTOMERSOUT":1
"ZIPCODE":"80620","TOTALCUSTOMERS":8385,"CUSTOMERSOUT":1
"ZIPCODE":"88101","TOTALCUSTOMERS":19583,"CUSTOMERSOUT":1
