"ZIPCODE":"55125","TOTALCUSTOMERS":19072,"CUSTOMERSOUT":1713
"ZIPCODE":"55129","TOTALCUSTOMERS":13151,"CUSTOMERSOUT":2087
"ZIPCODE":"55359","TOTALCUSTOMERS":1767,"CUSTOMERSOUT":54
"ZIPCODE":"55418","TOTALCUSTOMERS":15170,"CUSTOMERSOUT":5
"ZIPCODE":"55430","TOTALCUSTOMERS":9196,"CUSTOMERSOUT":1
"ZIPCODE":"57104","TOTALCUSTOMERS":12665,"CUSTOMERSOUT":2
"ZIPCODE":"79109","TOTALCUSTOMERS":22175,"CUSTOMERSOUT":162
"ZIPCODE":"79110","TOTALCUSTOMERS":8749,"CUSTOMERSOUT":2
"ZIPCODE":"79360","TOTALCUSTOMERS":7920,"CUSTOMERSOUT":3
"ZIPCODE":"80019","TOTALCUSTOMERS":3460,"CUSTOMERSOUT":1
"ZIPCODE":"80216","TOTALCUSTOMERS":9496,"CUSTOMERSOUT":2
"ZIPCODE":"80222","TOTALCUSTOMERS":12467,"CUSTOMERSOUT":1
"ZIPCODE":"80301","TOTALCUSTOMERS":15283,"CUSTOMERSOUT":11
"ZIPCODE":"80439","TOTALCUSTOMERS":9737,"CUSTOMERSOUT":1
"ZIPCODE":"80466","TOTALCUSTOMERS":1865,"CUSTOMERSOUT":1
"ZIPCODE":"80470","TOTALCUSTOMERS":1,"CUSTOMERSOUT":1
"ZIPCODE":"81201","TOTALCUSTOMERS":5941,"CUSTOMERSOUT":72
"ZIPCODE":"81227","TOTALCUSTOMERS":44,"CUSTOMERSOUT":44
"ZIPCODE":"81230","TOTALCUSTOMERS":1,"CUSTOMERSOUT":1
"ZIPCODE":"81242","TOTALCUSTOMERS":884,"CUSTOMERSOUT":2
"ZIPCODE":"81248","TOTALCUSTOMERS":33,"CUSTOMERSOUT":33
"ZIPCODE":"88231","TOTALCUSTOMERS":3412,"CUSTOMERSOUT":133
"ZIPCODE":"88240","TOTALCUSTOMERS":21105,"CUSTOMERSOUT":13
"ZIPCODE":"88252","TOTALCUSTOMERS":2775,"CUSTOMERSOUT":12
"ZIPCODE":"88254","TOTALCUSTOMERS":9,"CUSTOMERSOUT":1
"ZIPCODE":null,"TOTALCUSTOMERS":null,"CUSTOMERSOUT":1
