"ZIPCODE":"55082","TOTALCUSTOMERS":16748,"CUSTOMERSOUT":49
"ZIPCODE":"55120","TOTALCUSTOMERS":2741,"CUSTOMERSOUT":1
"ZIPCODE":"55344","TOTALCUSTOMERS":9903,"CUSTOMERSOUT":2
"ZIPCODE":"55403","TOTALCUSTOMERS":11289,"CUSTOMERSOUT":2
"ZIPCODE":"55441","TOTALCUSTOMERS":9536,"CUSTOMERSOUT":1
"ZIPCODE":"55447","TOTALCUSTOMERS":10167,"CUSTOMERSOUT":14
"ZIPCODE":"55920","TOTALCUSTOMERS":2208,"CUSTOMERSOUT":5
"ZIPCODE":"79070","TOTALCUSTOMERS":4351,"CUSTOMERSOUT":1
"ZIPCODE":"79235","TOTALCUSTOMERS":663,"CUSTOMERSOUT":1
"ZIPCODE":"79360","TOTALCUSTOMERS":7952,"CUSTOMERSOUT":1
"ZIPCODE":"54009","TOTALCUSTOMERS":933,"CUSTOMERSOUT":1
"ZIPCODE":"54601","TOTALCUSTOMERS":22792,"CUSTOMERSOUT":33
"ZIPCODE":"54623","TOTALCUSTOMERS":630,"CUSTOMERSOUT":1
"ZIPCODE":"54630","TOTALCUSTOMERS":1223,"CUSTOMERSOUT":37
"ZIPCODE":"54656","TOTALCUSTOMERS":7612,"CUSTOMERSOUT":2
"ZIPCODE":"54738","TOTALCUSTOMERS":498,"CUSTOMERSOUT":1
"ZIPCODE":"54843","TOTALCUSTOMERS":5799,"CUSTOMERSOUT":1
"ZIPCODE":"80013","TOTALCUSTOMERS":27918,"CUSTOMERSOUT":58
"ZIPCODE":"80021","TOTALCUSTOMERS":18707,"CUSTOMERSOUT":1
"ZIPCODE":"80127","TOTALCUSTOMERS":16492,"CUSTOMERSOUT":1
"ZIPCODE":"80216","TOTALCUSTOMERS":9540,"CUSTOMERSOUT":2
"ZIPCODE":"80631","TOTALCUSTOMERS":20596,"CUSTOMERSOUT":2
"ZIPCODE":"88130","TOTALCUSTOMERS":6331,"CUSTOMERSOUT":1
"ZIPCODE":"88256","TOTALCUSTOMERS":1607,"CUSTOMERSOUT":1
