"ZIPCODE":"80205","TOTALCUSTOMERS":18183,"CUSTOMERSOUT":24
"ZIPCODE":"80223","TOTALCUSTOMERS":10825,"CUSTOMERSOUT":32
"ZIPCODE":"80233","TOTALCUSTOMERS":18317,"CUSTOMERSOUT":22
"ZIPCODE":"80237","TOTALCUSTOMERS":12068,"CUSTOMERSOUT":1
"ZIPCODE":"80241","TOTALCUSTOMERS":13440,"CUSTOMERSOUT":1
"ZIPCODE":"80302","TOTALCUSTOMERS":12890,"CUSTOMERSOUT":1
"ZIPCODE":"80439","TOTALCUSTOMERS":9789,"CUSTOMERSOUT":1
"ZIPCODE":"81501","TOTALCUSTOMERS":12143,"CUSTOMERSOUT":0
"ZIPCODE":"88242","TOTALCUSTOMERS":3513,"CUSTOMERSOUT":2
"ZIPCODE":"55305","TOTALCUSTOMERS":11922,"CUSTOMERSOUT":10
"ZIPCODE":"55320","TOTALCUSTOMERS":662,"CUSTOMERSOUT":1
"ZIPCODE":"55372","TOTALCUSTOMERS":4306,"CUSTOMERSOUT":1
"ZIPCODE":"55421","TOTALCUSTOMERS":13282,"CUSTOMERSOUT":2
"ZIPCODE":"55436","TOTALCUSTOMERS":6572,"CUSTOMERSOUT":12
"ZIPCODE":"55437","TOTALCUSTOMERS":9575,"CUSTOMERSOUT":1
"ZIPCODE":"56003","TOTALCUSTOMERS":3539,"CUSTOMERSOUT":1
"ZIPCODE":"56374","TOTALCUSTOMERS":1371,"CUSTOMERSOUT":1
"ZIPCODE":"79104","TOTALCUSTOMERS":3059,"CUSTOMERSOUT":1
"ZIPCODE":"79124","TOTALCUSTOMERS":5375,"CUSTOMERSOUT":1
"ZIPCODE":"54016","TOTALCUSTOMERS":12118,"CUSTOMERSOUT":1
"ZIPCODE":"54601","TOTALCUSTOMERS":22793,"CUSTOMERSOUT":1
"ZIPCODE":"80019","TOTALCUSTOMERS":3243,"CUSTOMERSOUT":1
"ZIPCODE":"80110","TOTALCUSTOMERS":13261,"CUSTOMERSOUT":11
