"ZIPCODE":"79107","TOTALCUSTOMERS":12894,"CUSTOMERSOUT":13
"ZIPCODE":"79108","TOTALCUSTOMERS":6377,"CUSTOMERSOUT":4
"ZIPCODE":"79109","TOTALCUSTOMERS":22184,"CUSTOMERSOUT":5
"ZIPCODE":"79111","TOTALCUSTOMERS":636,"CUSTOMERSOUT":1
"ZIPCODE":"79118","TOTALCUSTOMERS":13674,"CUSTOMERSOUT":1
"ZIPCODE":"79119","TOTALCUSTOMERS":11903,"CUSTOMERSOUT":3
"ZIPCODE":"79124","TOTALCUSTOMERS":5480,"CUSTOMERSOUT":2
"ZIPCODE":"79359","TOTALCUSTOMERS":1753,"CUSTOMERSOUT":1
"ZIPCODE":null,"TOTALCUSTOMERS":null,"CUSTOMERSOUT":1
"ZIPCODE":"54616","TOTALCUSTOMERS":792,"CUSTOMERSOUT":1
"ZIPCODE":"54644","TOTALCUSTOMERS":407,"CUSTOMERSOUT":1
"ZIPCODE":"80002","TOTALCUSTOMERS":11330,"CUSTOMERSOUT":5
"ZIPCODE":"80012","TOTALCUSTOMERS":22517,"CUSTOMERSOUT":36
"ZIPCODE":"80016","TOTALCUSTOMERS":20735,"CUSTOMERSOUT":2
"ZIPCODE":"80031","TOTALCUSTOMERS":15764,"CUSTOMERSOUT":29
"ZIPCODE":"80123","TOTALCUSTOMERS":22115,"CUSTOMERSOUT":1
"ZIPCODE":"80216","TOTALCUSTOMERS":9498,"CUSTOMERSOUT":3
"ZIPCODE":"80218","TOTALCUSTOMERS":12149,"CUSTOMERSOUT":1
"ZIPCODE":"80229","TOTALCUSTOMERS":21156,"CUSTOMERSOUT":17
"ZIPCODE":"80233","TOTALCUSTOMERS":18356,"CUSTOMERSOUT":1
"ZIPCODE":"80234","TOTALCUSTOMERS":13747,"CUSTOMERSOUT":1
"ZIPCODE":"80516","TOTALCUSTOMERS":6125,"CUSTOMERSOUT":1
"ZIPCODE":"81201","TOTALCUSTOMERS":5934,"CUSTOMERSOUT":1
"ZIPCODE":"88101","TOTALCUSTOMERS":19375,"CUSTOMERSOUT":1
"ZIPCODE":"88210","TOTALCUSTOMERS":6845,"CUSTOMERSOUT":1
"ZIPCODE":"55013","TOTALCUSTOMERS":3216,"CUSTOMERSOUT":1
"ZIPCODE":"55045","TOTALCUSTOMERS":3149,"CUSTOMERSOUT":1
"ZIPCODE":"55082","TOTALCUSTOMERS":16741,"CUSTOMERSOUT":16
"ZIPCODE":"55111","TOTALCUSTOMERS":150,"CUSTOMERSOUT":6
"ZIPCODE":"55119","TOTALCUSTOMERS":16638,"CUSTOMERSOUT":24
"ZIPCODE":"55322","TOTALCUSTOMERS":1180,"CUSTOMERSOUT":96
"ZIPCODE":"55368","TOTALCUSTOMERS":1066,"CUSTOMERSOUT":2
"ZIPCODE":"55387","TOTALCUSTOMERS":5425,"CUSTOMERSOUT":4
"ZIPCODE":"55406","TOTALCUSTOMERS":17232,"CUSTOMERSOUT":2
"ZIPCODE":"55436","TOTALCUSTOMERS":6615,"CUSTOMERSOUT":7
"ZIPCODE":"55956","TOTALCUSTOMERS":716,"CUSTOMERSOUT":1
"ZIPCODE":"56072","TOTALCUSTOMERS":702,"CUSTOMERSOUT":2
"ZIPCODE":"56093","TOTALCUSTOMERS":1505,"CUSTOMERSOUT":1
"ZIPCODE":"79001","TOTALCUSTOMERS":260,"CUSTOMERSOUT":1
"ZIPCODE":"79015","TOTALCUSTOMERS":12161,"CUSTOMERSOUT":2
"ZIPCODE":"79019","TOTALCUSTOMERS":1107,"CUSTOMERSOUT":2
"ZIPCODE":"79083","TOTALCUSTOMERS":1489,"CUSTOMERSOUT":1
"ZIPCODE":"79086","TOTALCUSTOMERS":1181,"CUSTOMERSOUT":2
"ZIPCODE":"79101","TOTALCUSTOMERS":2177,"CUSTOMERSOUT":0
