"ZIPCODE":"55305","TOTALCUSTOMERS":12141,"CUSTOMERSOUT":6
"ZIPCODE":"55309","TOTALCUSTOMERS":2379,"CUSTOMERSOUT":1
"ZIPCODE":"55319","TOTALCUSTOMERS":833,"CUSTOMERSOUT":1
"ZIPCODE":"55391","TOTALCUSTOMERS":8120,"CUSTOMERSOUT":5
"ZIPCODE":"55418","TOTALCUSTOMERS":15185,"CUSTOMERSOUT":1
"ZIPCODE":"55421","TOTALCUSTOMERS":13411,"CUSTOMERSOUT":1
"ZIPCODE":"55423","TOTALCUSTOMERS":17908,"CUSTOMERSOUT":1
"ZIPCODE":"55429","TOTALCUSTOMERS":11326,"CUSTOMERSOUT":1
"ZIPCODE":"55430","TOTALCUSTOMERS":9194,"CUSTOMERSOUT":33
"ZIPCODE":"56001","TOTALCUSTOMERS":20380,"CUSTOMERSOUT":16
"ZIPCODE":"56301","TOTALCUSTOMERS":12945,"CUSTOMERSOUT":1
"ZIPCODE":"56307","TOTALCUSTOMERS":1701,"CUSTOMERSOUT":5
"ZIPCODE":"56356","TOTALCUSTOMERS":187,"CUSTOMERSOUT":8
"ZIPCODE":"58078","TOTALCUSTOMERS":5689,"CUSTOMERSOUT":1
"ZIPCODE":"58103","TOTALCUSTOMERS":23048,"CUSTOMERSOUT":1
"ZIPCODE":"58701","TOTALCUSTOMERS":9811,"CUSTOMERSOUT":1
"ZIPCODE":"79064","TOTALCUSTOMERS":1253,"CUSTOMERSOUT":1
"ZIPCODE":"79065","TOTALCUSTOMERS":11121,"CUSTOMERSOUT":2
"ZIPCODE":"54022","TOTALCUSTOMERS":616,"CUSTOMERSOUT":2
"ZIPCODE":"54547","TOTALCUSTOMERS":2015,"CUSTOMERSOUT":2
"ZIPCODE":"54624","TOTALCUSTOMERS":235,"CUSTOMERSOUT":1
"ZIPCODE":"54629","TOTALCUSTOMERS":751,"CUSTOMERSOUT":3
"ZIPCODE":"80011","TOTALCUSTOMERS":21882,"CUSTOMERSOUT":1
"ZIPCODE":"80019","TOTALCUSTOMERS":3449,"CUSTOMERSOUT":3
"ZIPCODE":"80123","TOTALCUSTOMERS":22125,"CUSTOMERSOUT":8
"ZIPCODE":"80216","TOTALCUSTOMERS":9503,"CUSTOMERSOUT":51
"ZIPCODE":"80218","TOTALCUSTOMERS":12150,"CUSTOMERSOUT":1
"ZIPCODE":"80228","TOTALCUSTOMERS":16812,"CUSTOMERSOUT":41
"ZIPCODE":"80427","TOTALCUSTOMERS":697,"CUSTOMERSOUT":1
"ZIPCODE":"80503","TOTALCUSTOMERS":2798,"CUSTOMERSOUT":7
"ZIPCODE":"80549","TOTALCUSTOMERS":4232,"CUSTOMERSOUT":1
"ZIPCODE":"81650","TOTALCUSTOMERS":6065,"CUSTOMERSOUT":95
"ZIPCODE":"49938","TOTALCUSTOMERS":5013,"CUSTOMERSOUT":2
"ZIPCODE":"55021","TOTALCUSTOMERS":11103,"CUSTOMERSOUT":1
"ZIPCODE":"55113","TOTALCUSTOMERS":21181,"CUSTOMERSOUT":11
"ZIPCODE":"55125","TOTALCUSTOMERS":19084,"CUSTOMERSOUT":4
