"ZIPCODE":"55013","TOTALCUSTOMERS":3232,"CUSTOMERSOUT":111
"ZIPCODE":"55020","TOTALCUSTOMERS":128,"CUSTOMERSOUT":2
"ZIPCODE":"55032","TOTALCUSTOMERS":26,"CUSTOMERSOUT":3
"ZIPCODE":"55066","TOTALCUSTOMERS":9192,"CUSTOMERSOUT":1
"ZIPCODE":"55082","TOTALCUSTOMERS":16871,"CUSTOMERSOUT":38
"ZIPCODE":"55105","TOTALCUSTOMERS":13389,"CUSTOMERSOUT":1
"ZIPCODE":"55107","TOTALCUSTOMERS":7024,"CUSTOMERSOUT":1
"ZIPCODE":"55108","TOTALCUSTOMERS":7269,"CUSTOMERSOUT":14
"ZIPCODE":"55110","TOTALCUSTOMERS":17003,"CUSTOMERSOUT":12
"ZIPCODE":"55311","TOTALCUSTOMERS":7070,"CUSTOMERSOUT":0
"ZIPCODE":"55316","TOTALCUSTOMERS":6674,"CUSTOMERSOUT":6
"ZIPCODE":"55327","TOTALCUSTOMERS":606,"CUSTOMERSOUT":0
"ZIPCODE":"55364","TOTALCUSTOMERS":6922,"CUSTOMERSOUT":1
"ZIPCODE":"55369","TOTALCUSTOMERS":14771,"CUSTOMERSOUT":1
"ZIPCODE":"55408","TOTALCUSTOMERS":19666,"CUSTOMERSOUT":0
"ZIPCODE":"55411","TOTALCUSTOMERS":10915,"CUSTOMERSOUT":2
"ZIPCODE":"55423","TOTALCUSTOMERS":18116,"CUSTOMERSOUT":73
"ZIPCODE":"55426","TOTALCUSTOMERS":13245,"CUSTOMERSOUT":1
"ZIPCODE":"55428","TOTALCUSTOMERS":14115,"CUSTOMERSOUT":18
"ZIPCODE":"56320","TOTALCUSTOMERS":2973,"CUSTOMERSOUT":5
"ZIPCODE":"58102","TOTALCUSTOMERS":17630,"CUSTOMERSOUT":306
"ZIPCODE":"79007","TOTALCUSTOMERS":8191,"CUSTOMERSOUT":2
"ZIPCODE":"79065","TOTALCUSTOMERS":11166,"CUSTOMERSOUT":2
"ZIPCODE":"79070","TOTALCUSTOMERS":4396,"CUSTOMERSOUT":0
"ZIPCODE":"79107","TOTALCUSTOMERS":12932,"CUSTOMERSOUT":3
"ZIPCODE":"79108","TOTALCUSTOMERS":6480,"CUSTOMERSOUT":56
"ZIPCODE":"79336","TOTALCUSTOMERS":7344,"CUSTOMERSOUT":2
"ZIPCODE":"54545","TOTALCUSTOMERS":1605,"CUSTOMERSOUT":2
"ZIPCODE":"54557","TOTALCUSTOMERS":1879,"CUSTOMERSOUT":1
"ZIPCODE":"54703","TOTALCUSTOMERS":20376,"CUSTOMERSOUT":8
"ZIPCODE":"54729","TOTALCUSTOMERS":15996,"CUSTOMERSOUT":17
"ZIPCODE":"54889","TOTALCUSTOMERS":839,"CUSTOMERSOUT":1
"ZIPCODE":"80004","TOTALCUSTOMERS":15404,"CUSTOMERSOUT":1
"ZIPCODE":"80014","TOTALCUSTOMERS":21730,"CUSTOMERSOUT":1
"ZIPCODE":"80020","TOTALCUSTOMERS":25741,"CUSTOMERSOUT":60
"ZIPCODE":"80209","TOTALCUSTOMERS":14866,"CUSTOMERSOUT":1
"ZIPCODE":"80229","TOTALCUSTOMERS":21224,"CUSTOMERSOUT":9
"ZIPCODE":"80241","TOTALCUSTOMERS":13828,"CUSTOMERSOUT":0
"ZIPCODE":"80304","TOTALCUSTOMERS":13186,"CUSTOMERSOUT":2
"ZIPCODE":"80424","TOTALCUSTOMERS":13328,"CUSTOMERSOUT":2
"ZIPCODE":"80435","TOTALCUSTOMERS":7227,"CUSTOMERSOUT":399
"ZIPCODE":"80498","TOTALCUSTOMERS":6650,"CUSTOMERSOUT":15
"ZIPCODE":"80631","TOTALCUSTOMERS":20953,"CUSTOMERSOUT":0
"ZIPCODE":"80634","TOTALCUSTOMERS":27106,"CUSTOMERSOUT":1
"ZIPCODE":"80723","TOTALCUSTOMERS":2941,"CUSTOMERSOUT":2
"ZIPCODE":"88252","TOTALCUSTOMERS":2790,"CUSTOMERSOUT":1
