"ZIPCODE":"49911","TOTALCUSTOMERS":1949,"CUSTOMERSOUT":9
"ZIPCODE":"49938","TOTALCUSTOMERS":4995,"CUSTOMERSOUT":286
"ZIPCODE":"49947","TOTALCUSTOMERS":896,"CUSTOMERSOUT":108
"ZIPCODE":"55106","TOTALCUSTOMERS":20532,"CUSTOMERSOUT":1
"ZIPCODE":"55111","TOTALCUSTOMERS":150,"CUSTOMERSOUT":6
"ZIPCODE":"55322","TOTALCUSTOMERS":1179,"CUSTOMERSOUT":96
"ZIPCODE":"55335","TOTALCUSTOMERS":628,"CUSTOMERSOUT":1
"ZIPCODE":"55343","TOTALCUSTOMERS":14785,"CUSTOMERSOUT":1873
"ZIPCODE":"55344","TOTALCUSTOMERS":9909,"CUSTOMERSOUT":126
"ZIPCODE":"55345","TOTALCUSTOMERS":9581,"CUSTOMERSOUT":187
"ZIPCODE":"55346","TOTALCUSTOMERS":6890,"CUSTOMERSOUT":1
"ZIPCODE":"55364","TOTALCUSTOMERS":6821,"CUSTOMERSOUT":1
"ZIPCODE":"55387","TOTALCUSTOMERS":5420,"CUSTOMERSOUT":4
"ZIPCODE":"55406","TOTALCUSTOMERS":17221,"CUSTOMERSOUT":2
"ZIPCODE":"55426","TOTALCUSTOMERS":12832,"CUSTOMERSOUT":1
"ZIPCODE":"55431","TOTALCUSTOMERS":9711,"CUSTOMERSOUT":43
"ZIPCODE":"56170","TOTALCUSTOMERS":238,"CUSTOMERSOUT":1
"ZIPCODE":"56178","TOTALCUSTOMERS":30,"CUSTOMERSOUT":1
"ZIPCODE":"56186","TOTALCUSTOMERS":89,"CUSTOMERSOUT":8
"ZIPCODE":"56301","TOTALCUSTOMERS":12955,"CUSTOMERSOUT":1
"ZIPCODE":"56303","TOTALCUSTOMERS":9863,"CUSTOMERSOUT":19
"ZIPCODE":"56307","TOTALCUSTOMERS":1699,"CUSTOMERSOUT":2
"ZIPCODE":"56387","TOTALCUSTOMERS":3999,"CUSTOMERSOUT":131
"ZIPCODE":"79065","TOTALCUSTOMERS":11091,"CUSTOMERSOUT":2
"ZIPCODE":"79103","TOTALCUSTOMERS":4242,"CUSTOMERSOUT":13
"ZIPCODE":"79118","TOTALCUSTOMERS":13646,"CUSTOMERSOUT":2
"ZIPCODE":"54457","TOTALCUSTOMERS":1,"CUSTOMERSOUT":0
"ZIPCODE":"54512","TOTALCUSTOMERS":265,"CUSTOMERSOUT":1
"ZIPCODE":"54534","TOTALCUSTOMERS":1621,"CUSTOMERSOUT":30
"ZIPCODE":"54545","TOTALCUSTOMERS":1575,"CUSTOMERSOUT":4
"ZIPCODE":"54547","TOTALCUSTOMERS":2013,"CUSTOMERSOUT":8
"ZIPCODE":"54557","TOTALCUSTOMERS":1872,"CUSTOMERSOUT":189
"ZIPCODE":"54559","TOTALCUSTOMERS":221,"CUSTOMERSOUT":53
"ZIPCODE":"80204","TOTALCUSTOMERS":17871,"CUSTOMERSOUT":1
"ZIPCODE":"80216","TOTALCUSTOMERS":9504,"CUSTOMERSOUT":2
"ZIPCODE":"80233","TOTALCUSTOMERS":18356,"CUSTOMERSOUT":1
"ZIPCODE":"80631","TOTALCUSTOMERS":20454,"CUSTOMERSOUT":2
"ZIPCODE":"81144","TOTALCUSTOMERS":3340,"CUSTOMERSOUT":19
"ZIPCODE":"81201","TOTALCUSTOMERS":5928,"CUSTOMERSOUT":73
"ZIPCODE":"81503","TOTALCUSTOMERS":7769,"CUSTOMERSOUT":19
