"ZIPCODE":"55305","TOTALCUSTOMERS":12157,"CUSTOMERSOUT":2
"ZIPCODE":"55378","TOTALCUSTOMERS":4256,"CUSTOMERSOUT":1
"ZIPCODE":"57107","TOTALCUSTOMERS":6644,"CUSTOMERSOUT":84
"ZIPCODE":"79007","TOTALCUSTOMERS":8195,"CUSTOMERSOUT":13
"ZIPCODE":"79036","TOTALCUSTOMERS":2872,"CUSTOMERSOUT":1
"ZIPCODE":"79066","TOTALCUSTOMERS":198,"CUSTOMERSOUT":1
"ZIPCODE":"79078","TOTALCUSTOMERS":200,"CUSTOMERSOUT":9
"ZIPCODE":"79103","TOTALCUSTOMERS":4252,"CUSTOMERSOUT":1
"ZIPCODE":"79104","TOTALCUSTOMERS":3049,"CUSTOMERSOUT":1
"ZIPCODE":"79107","TOTALCUSTOMERS":12995,"CUSTOMERSOUT":150
"ZIPCODE":"54016","TOTALCUSTOMERS":12352,"CUSTOMERSOUT":272
"ZIPCODE":"54755","TOTALCUSTOMERS":1605,"CUSTOMERSOUT":4
"ZIPCODE":"54850","TOTALCUSTOMERS":1010,"CUSTOMERSOUT":1
"ZIPCODE":"80204","TOTALCUSTOMERS":18071,"CUSTOMERSOUT":1
"ZIPCODE":"80302","TOTALCUSTOMERS":13130,"CUSTOMERSOUT":1
"ZIPCODE":"80504","TOTALCUSTOMERS":616,"CUSTOMERSOUT":6
"ZIPCODE":"88101","TOTALCUSTOMERS":19558,"CUSTOMERSOUT":1
