"ZIPCODE":"55446","TOTALCUSTOMERS":7185,"CUSTOMERSOUT":147
"ZIPCODE":"56301","TOTALCUSTOMERS":12894,"CUSTOMERSOUT":1
"ZIPCODE":"58275","TOTALCUSTOMERS":221,"CUSTOMERSOUT":4
"ZIPCODE":"79065","TOTALCUSTOMERS":11116,"CUSTOMERSOUT":1
"ZIPCODE":"79103","TOTALCUSTOMERS":4240,"CUSTOMERSOUT":1
"ZIPCODE":"79109","TOTALCUSTOMERS":22191,"CUSTOMERSOUT":2
"ZIPCODE":"79408","TOTALCUSTOMERS":19,"CUSTOMERSOUT":2
"ZIPCODE":"80004","TOTALCUSTOMERS":15392,"CUSTOMERSOUT":1
"ZIPCODE":"80122","TOTALCUSTOMERS":14371,"CUSTOMERSOUT":1
"ZIPCODE":"80211","TOTALCUSTOMERS":20393,"CUSTOMERSOUT":1
"ZIPCODE":"80216","TOTALCUSTOMERS":9537,"CUSTOMERSOUT":2
"ZIPCODE":"80229","TOTALCUSTOMERS":21159,"CUSTOMERSOUT":1
"ZIPCODE":"80234","TOTALCUSTOMERS":13736,"CUSTOMERSOUT":1
"ZIPCODE":"80239","TOTALCUSTOMERS":15346,"CUSTOMERSOUT":1
"ZIPCODE":"80241","TOTALCUSTOMERS":13648,"CUSTOMERSOUT":6
"ZIPCODE":"80249","TOTALCUSTOMERS":16111,"CUSTOMERSOUT":7
"ZIPCODE":"80631","TOTALCUSTOMERS":20626,"CUSTOMERSOUT":2
