"ZIPCODE":"58102","TOTALCUSTOMERS":17656,"CUSTOMERSOUT":79
"ZIPCODE":"57104","TOTALCUSTOMERS":13051,"CUSTOMERSOUT":3
"ZIPCODE":"79015","TOTALCUSTOMERS":12741,"CUSTOMERSOUT":1
"ZIPCODE":"79027","TOTALCUSTOMERS":2041,"CUSTOMERSOUT":1
"ZIPCODE":"79102","TOTALCUSTOMERS":4865,"CUSTOMERSOUT":1
"ZIPCODE":"79110","TOTALCUSTOMERS":8780,"CUSTOMERSOUT":1
"ZIPCODE":"79359","TOTALCUSTOMERS":1757,"CUSTOMERSOUT":4
"ZIPCODE":"54601","TOTALCUSTOMERS":23000,"CUSTOMERSOUT":2
"ZIPCODE":"54728","TOTALCUSTOMERS":1907,"CUSTOMERSOUT":1
"ZIPCODE":"54751","TOTALCUSTOMERS":10089,"CUSTOMERSOUT":18
"ZIPCODE":"54850","TOTALCUSTOMERS":1035,"CUSTOMERSOUT":1
"ZIPCODE":"80005","TOTALCUSTOMERS":12123,"CUSTOMERSOUT":1
"ZIPCODE":"80022","TOTALCUSTOMERS":10853,"CUSTOMERSOUT":14
"ZIPCODE":"80027","TOTALCUSTOMERS":15784,"CUSTOMERSOUT":1
"ZIPCODE":"80112","TOTALCUSTOMERS":18285,"CUSTOMERSOUT":5
"ZIPCODE":"80206","TOTALCUSTOMERS":14681,"CUSTOMERSOUT":19
"ZIPCODE":"80210","TOTALCUSTOMERS":19164,"CUSTOMERSOUT":17
"ZIPCODE":"80211","TOTALCUSTOMERS":20764,"CUSTOMERSOUT":23
"ZIPCODE":"80216","TOTALCUSTOMERS":11105,"CUSTOMERSOUT":1
"ZIPCODE":"80249","TOTALCUSTOMERS":18284,"CUSTOMERSOUT":1
"ZIPCODE":"80303","TOTALCUSTOMERS":11927,"CUSTOMERSOUT":2
"ZIPCODE":"80424","TOTALCUSTOMERS":13516,"CUSTOMERSOUT":2
"ZIPCODE":"80466","TOTALCUSTOMERS":1887,"CUSTOMERSOUT":9
"ZIPCODE":"80631","TOTALCUSTOMERS":21027,"CUSTOMERSOUT":9
"ZIPCODE":"81650","TOTALCUSTOMERS":6257,"CUSTOMERSOUT":1
"ZIPCODE":"49938","TOTALCUSTOMERS":5019,"CUSTOMERSOUT":16
"ZIPCODE":"55025","TOTALCUSTOMERS":7602,"CUSTOMERSOUT":94
"ZIPCODE":"55106","TOTALCUSTOMERS":20826,"CUSTOMERSOUT":1
"ZIPCODE":"55110","TOTALCUSTOMERS":17042,"CUSTOMERSOUT":2
"ZIPCODE":"55117","TOTALCUSTOMERS":18608,"CUSTOMERSOUT":1
"ZIPCODE":"55128","TOTALCUSTOMERS":13350,"CUSTOMERSOUT":37
"ZIPCODE":"55129","TOTALCUSTOMERS":14324,"CUSTOMERSOUT":1
"ZIPCODE":"55364","TOTALCUSTOMERS":6950,"CUSTOMERSOUT":3
"ZIPCODE":"55368","TOTALCUSTOMERS":1067,"CUSTOMERSOUT":1
"ZIPCODE":"55405","TOTALCUSTOMERS":9646,"CUSTOMERSOUT":10
"ZIPCODE":"55411","TOTALCUSTOMERS":11016,"CUSTOMERSOUT":1
"ZIPCODE":"55424","TOTALCUSTOMERS":4379,"CUSTOMERSOUT":1
"ZIPCODE":"55431","TOTALCUSTOMERS":9982,"CUSTOMERSOUT":1
"ZIPCODE":"55437","TOTALCUSTOMERS":9645,"CUSTOMERSOUT":10
"ZIPCODE":"55443","TOTALCUSTOMERS":13661,"CUSTOMERSOUT":295
