"ZIPCODE":"55106","TOTALCUSTOMERS":20532,"CUSTOMERSOUT":0
"ZIPCODE":"55119","TOTALCUSTOMERS":16782,"CUSTOMERSOUT":1
"ZIPCODE":"55320","TOTALCUSTOMERS":673,"CUSTOMERSOUT":1
"ZIPCODE":"55337","TOTALCUSTOMERS":7290,"CUSTOMERSOUT":6
"ZIPCODE":"55338","TOTALCUSTOMERS":355,"CUSTOMERSOUT":35
"ZIPCODE":"55346","TOTALCUSTOMERS":6886,"CUSTOMERSOUT":1
"ZIPCODE":"55369","TOTALCUSTOMERS":14120,"CUSTOMERSOUT":1
"ZIPCODE":"55423","TOTALCUSTOMERS":17895,"CUSTOMERSOUT":1
"ZIPCODE":"58703","TOTALCUSTOMERS":9559,"CUSTOMERSOUT":7
"ZIPCODE":"79015","TOTALCUSTOMERS":12159,"CUSTOMERSOUT":1
"ZIPCODE":"79045","TOTALCUSTOMERS":7081,"CUSTOMERSOUT":24
"ZIPCODE":"79108","TOTALCUSTOMERS":6379,"CUSTOMERSOUT":1
"ZIPCODE":"79109","TOTALCUSTOMERS":22186,"CUSTOMERSOUT":23
"ZIPCODE":"79110","TOTALCUSTOMERS":8752,"CUSTOMERSOUT":1
"ZIPCODE":"79350","TOTALCUSTOMERS":458,"CUSTOMERSOUT":3
"ZIPCODE":"79408","TOTALCUSTOMERS":19,"CUSTOMERSOUT":1
"ZIPCODE":"54703","TOTALCUSTOMERS":19919,"CUSTOMERSOUT":2
"ZIPCODE":"80004","TOTALCUSTOMERS":15388,"CUSTOMERSOUT":1
"ZIPCODE":"80019","TOTALCUSTOMERS":3462,"CUSTOMERSOUT":12
"ZIPCODE":"80021","TOTALCUSTOMERS":18693,"CUSTOMERSOUT":1
"ZIPCODE":"80128","TOTALCUSTOMERS":15459,"CUSTOMERSOUT":1
"ZIPCODE":"80216","TOTALCUSTOMERS":9497,"CUSTOMERSOUT":2
"ZIPCODE":"80260","TOTALCUSTOMERS":13569,"CUSTOMERSOUT":97
"ZIPCODE":"80403","TOTALCUSTOMERS":7577,"CUSTOMERSOUT":2
"ZIPCODE":"80435","TOTALCUSTOMERS":7202,"CUSTOMERSOUT":1
"ZIPCODE":"81505","TOTALCUSTOMERS":4834,"CUSTOMERSOUT":1
"ZIPCODE":"81647","TOTALCUSTOMERS":3059,"CUSTOMERSOUT":1
"ZIPCODE":"88240","TOTALCUSTOMERS":21108,"CUSTOMERSOUT":16
"ZIPCODE":"88252","TOTALCUSTOMERS":2777,"CUSTOMERSOUT":1
