"ZIPCODE":"55111","TOTALCUSTOMERS":150,"CUSTOMERSOUT":6
"ZIPCODE":"55347","TOTALCUSTOMERS":10889,"CUSTOMERSOUT":62
"ZIPCODE":"55406","TOTALCUSTOMERS":17234,"CUSTOMERSOUT":2
"ZIPCODE":"55432","TOTALCUSTOMERS":15662,"CUSTOMERSOUT":1
"ZIPCODE":"80003","TOTALCUSTOMERS":15659,"CUSTOMERSOUT":26
"ZIPCODE":"80005","TOTALCUSTOMERS":11955,"CUSTOMERSOUT":38
"ZIPCODE":"80016","TOTALCUSTOMERS":20749,"CUSTOMERSOUT":1
"ZIPCODE":"80021","TOTALCUSTOMERS":18693,"CUSTOMERSOUT":2104
"ZIPCODE":"80031","TOTALCUSTOMERS":15763,"CUSTOMERSOUT":43
"ZIPCODE":"80127","TOTALCUSTOMERS":16404,"CUSTOMERSOUT":1
"ZIPCODE":"80216","TOTALCUSTOMERS":9500,"CUSTOMERSOUT":2
"ZIPCODE":"80234","TOTALCUSTOMERS":13747,"CUSTOMERSOUT":1
"ZIPCODE":"80549","TOTALCUSTOMERS":4232,"CUSTOMERSOUT":1
"ZIPCODE":"80631","TOTALCUSTOMERS":20438,"CUSTOMERSOUT":1
"ZIPCODE":"88231","TOTALCUSTOMERS":3408,"CUSTOMERSOUT":336
"ZIPCODE":"88240","TOTALCUSTOMERS":21065,"CUSTOMERSOUT":5
