"ZIPCODE":"55362","TOTALCUSTOMERS":6763,"CUSTOMERSOUT":89
"ZIPCODE":"55408","TOTALCUSTOMERS":19706,"CUSTOMERSOUT":1
"ZIPCODE":"55411","TOTALCUSTOMERS":10943,"CUSTOMERSOUT":15
"ZIPCODE":"55417","TOTALCUSTOMERS":12384,"CUSTOMERSOUT":1
"ZIPCODE":"58701","TOTALCUSTOMERS":9752,"CUSTOMERSOUT":0
"ZIPCODE":"79081","TOTALCUSTOMERS":1800,"CUSTOMERSOUT":5
"ZIPCODE":"79092","TOTALCUSTOMERS":1141,"CUSTOMERSOUT":1
"ZIPCODE":"79336","TOTALCUSTOMERS":7343,"CUSTOMERSOUT":1
"ZIPCODE":"80011","TOTALCUSTOMERS":23203,"CUSTOMERSOUT":18
"ZIPCODE":"80031","TOTALCUSTOMERS":15861,"CUSTOMERSOUT":4
"ZIPCODE":"80110","TOTALCUSTOMERS":14040,"CUSTOMERSOUT":42
"ZIPCODE":"80124","TOTALCUSTOMERS":11948,"CUSTOMERSOUT":14
"ZIPCODE":"80126","TOTALCUSTOMERS":17021,"CUSTOMERSOUT":1
"ZIPCODE":"80227","TOTALCUSTOMERS":17522,"CUSTOMERSOUT":32
"ZIPCODE":"80304","TOTALCUSTOMERS":13222,"CUSTOMERSOUT":1
"ZIPCODE":"81520","TOTALCUSTOMERS":5597,"CUSTOMERSOUT":2
"ZIPCODE":"81623","TOTALCUSTOMERS":3632,"CUSTOMERSOUT":9
"ZIPCODE":"88240","TOTALCUSTOMERS":21346,"CUSTOMERSOUT":1
