"ZIPCODE":"80120","TOTALCUSTOMERS":14792,"CUSTOMERSOUT":17
"ZIPCODE":"80214","TOTALCUSTOMERS":14541,"CUSTOMERSOUT":1
"ZIPCODE":"80224","TOTALCUSTOMERS":9322,"CUSTOMERSOUT":1
"ZIPCODE":"80233","TOTALCUSTOMERS":18698,"CUSTOMERSOUT":45
"ZIPCODE":"80241","TOTALCUSTOMERS":13837,"CUSTOMERSOUT":1
"ZIPCODE":"80439","TOTALCUSTOMERS":9859,"CUSTOMERSOUT":1
"ZIPCODE":"80455","TOTALCUSTOMERS":268,"CUSTOMERSOUT":11
"ZIPCODE":"80631","TOTALCUSTOMERS":20999,"CUSTOMERSOUT":7
"ZIPCODE":"81144","TOTALCUSTOMERS":3365,"CUSTOMERSOUT":622
"ZIPCODE":"55041","TOTALCUSTOMERS":788,"CUSTOMERSOUT":1
"ZIPCODE":"55105","TOTALCUSTOMERS":13402,"CUSTOMERSOUT":13
"ZIPCODE":"88101","TOTALCUSTOMERS":19669,"CUSTOMERSOUT":1
"ZIPCODE":"88252","TOTALCUSTOMERS":2801,"CUSTOMERSOUT":1
"ZIPCODE":"55113","TOTALCUSTOMERS":21263,"CUSTOMERSOUT":5
"ZIPCODE":"55308","TOTALCUSTOMERS":966,"CUSTOMERSOUT":1
"ZIPCODE":"55419","TOTALCUSTOMERS":12372,"CUSTOMERSOUT":1
"ZIPCODE":"55428","TOTALCUSTOMERS":14111,"CUSTOMERSOUT":1
"ZIPCODE":"55985","TOTALCUSTOMERS":776,"CUSTOMERSOUT":8
"ZIPCODE":"56172","TOTALCUSTOMERS":1289,"CUSTOMERSOUT":29
"ZIPCODE":"79015","TOTALCUSTOMERS":12546,"CUSTOMERSOUT":2
"ZIPCODE":"79072","TOTALCUSTOMERS":11046,"CUSTOMERSOUT":1
"ZIPCODE":"54020","TOTALCUSTOMERS":2069,"CUSTOMERSOUT":1
"ZIPCODE":"54876","TOTALCUSTOMERS":1814,"CUSTOMERSOUT":23
"ZIPCODE":"80010","TOTALCUSTOMERS":15602,"CUSTOMERSOUT":21
"ZIPCODE":"80021","TOTALCUSTOMERS":19466,"CUSTOMERSOUT":1
"ZIPCODE":"80026","TOTALCUSTOMERS":15791,"CUSTOMERSOUT":1
