"ZIPCODE":"55987","TOTALCUSTOMERS":14650,"CUSTOMERSOUT":38
"ZIPCODE":"79022","TOTALCUSTOMERS":4961,"CUSTOMERSOUT":2
"ZIPCODE":"79035","TOTALCUSTOMERS":1764,"CUSTOMERSOUT":1
"ZIPCODE":"54005","TOTALCUSTOMERS":1037,"CUSTOMERSOUT":31
"ZIPCODE":"54650","TOTALCUSTOMERS":7775,"CUSTOMERSOUT":69
"ZIPCODE":"80010","TOTALCUSTOMERS":15415,"CUSTOMERSOUT":1
"ZIPCODE":"80013","TOTALCUSTOMERS":27932,"CUSTOMERSOUT":46
"ZIPCODE":"80014","TOTALCUSTOMERS":21677,"CUSTOMERSOUT":1
"ZIPCODE":"80022","TOTALCUSTOMERS":10724,"CUSTOMERSOUT":2
"ZIPCODE":"80121","TOTALCUSTOMERS":7633,"CUSTOMERSOUT":2
"ZIPCODE":"80123","TOTALCUSTOMERS":22133,"CUSTOMERSOUT":5
"ZIPCODE":"80216","TOTALCUSTOMERS":9514,"CUSTOMERSOUT":2
"ZIPCODE":"80224","TOTALCUSTOMERS":9313,"CUSTOMERSOUT":1
"ZIPCODE":"80229","TOTALCUSTOMERS":21158,"CUSTOMERSOUT":2
"ZIPCODE":"80260","TOTALCUSTOMERS":13581,"CUSTOMERSOUT":78
"ZIPCODE":"80465","TOTALCUSTOMERS":4222,"CUSTOMERSOUT":6
"ZIPCODE":"80602","TOTALCUSTOMERS":6490,"CUSTOMERSOUT":1
"ZIPCODE":"81101","TOTALCUSTOMERS":7404,"CUSTOMERSOUT":1
"ZIPCODE":"81151","TOTALCUSTOMERS":609,"CUSTOMERSOUT":1
"ZIPCODE":"88203","TOTALCUSTOMERS":12984,"CUSTOMERSOUT":1
"ZIPCODE":"88220","TOTALCUSTOMERS":21689,"CUSTOMERSOUT":6
"ZIPCODE":"55038","TOTALCUSTOMERS":8161,"CUSTOMERSOUT":1
"ZIPCODE":"55368","TOTALCUSTOMERS":1062,"CUSTOMERSOUT":7
"ZIPCODE":"55370","TOTALCUSTOMERS":306,"CUSTOMERSOUT":4
"ZIPCODE":"55406","TOTALCUSTOMERS":17197,"CUSTOMERSOUT":3
