"ZIPCODE":"55112","TOTALCUSTOMERS":20703,"CUSTOMERSOUT":357
"ZIPCODE":"55309","TOTALCUSTOMERS":2378,"CUSTOMERSOUT":1
"ZIPCODE":"55345","TOTALCUSTOMERS":9599,"CUSTOMERSOUT":1
"ZIPCODE":"55411","TOTALCUSTOMERS":10781,"CUSTOMERSOUT":41
"ZIPCODE":"55412","TOTALCUSTOMERS":9261,"CUSTOMERSOUT":171
"ZIPCODE":"55421","TOTALCUSTOMERS":13423,"CUSTOMERSOUT":16
"ZIPCODE":"55422","TOTALCUSTOMERS":13742,"CUSTOMERSOUT":1
"ZIPCODE":"55424","TOTALCUSTOMERS":4110,"CUSTOMERSOUT":2
"ZIPCODE":"55427","TOTALCUSTOMERS":11745,"CUSTOMERSOUT":2
"ZIPCODE":"56021","TOTALCUSTOMERS":530,"CUSTOMERSOUT":1
"ZIPCODE":"56270","TOTALCUSTOMERS":532,"CUSTOMERSOUT":1
"ZIPCODE":"57103","TOTALCUSTOMERS":15607,"CUSTOMERSOUT":1
"ZIPCODE":"57104","TOTALCUSTOMERS":12668,"CUSTOMERSOUT":38
"ZIPCODE":"79072","TOTALCUSTOMERS":11008,"CUSTOMERSOUT":14
"ZIPCODE":"79124","TOTALCUSTOMERS":5516,"CUSTOMERSOUT":1
"ZIPCODE":"80012","TOTALCUSTOMERS":22532,"CUSTOMERSOUT":1
"ZIPCODE":"80022","TOTALCUSTOMERS":10732,"CUSTOMERSOUT":2
"ZIPCODE":"80120","TOTALCUSTOMERS":14783,"CUSTOMERSOUT":23
"ZIPCODE":"80214","TOTALCUSTOMERS":14487,"CUSTOMERSOUT":7
"ZIPCODE":"80216","TOTALCUSTOMERS":9540,"CUSTOMERSOUT":2
"ZIPCODE":"80236","TOTALCUSTOMERS":6341,"CUSTOMERSOUT":66
"ZIPCODE":"80302","TOTALCUSTOMERS":12971,"CUSTOMERSOUT":1
"ZIPCODE":"80631","TOTALCUSTOMERS":20618,"CUSTOMERSOUT":2
"ZIPCODE":"81132","TOTALCUSTOMERS":1133,"CUSTOMERSOUT":5
"ZIPCODE":"86240","TOTALCUSTOMERS":2,"CUSTOMERSOUT":1
"ZIPCODE":"88201","TOTALCUSTOMERS":13109,"CUSTOMERSOUT":2
"ZIPCODE":"88203","TOTALCUSTOMERS":12984,"CUSTOMERSOUT":5
"ZIPCODE":"88210","TOTALCUSTOMERS":6838,"CUSTOMERSOUT":1
"ZIPCODE":"88220","TOTALCUSTOMERS":21703,"CUSTOMERSOUT":4
"ZIPCODE":"88231","TOTALCUSTOMERS":3407,"CUSTOMERSOUT":9
"ZIPCODE":"88240","TOTALCUSTOMERS":21067,"CUSTOMERSOUT":1
"ZIPCODE":"88252","TOTALCUSTOMERS":2793,"CUSTOMERSOUT":30
"ZIPCODE":"88256","TOTALCUSTOMERS":1604,"CUSTOMERSOUT":7
"ZIPCODE":"88260","TOTALCUSTOMERS":47,"CUSTOMERSOUT":1
"ZIPCODE":"55014","TOTALCUSTOMERS":7461,"CUSTOMERSOUT":1
"ZIPCODE":"55016","TOTALCUSTOMERS":15489,"CUSTOMERSOUT":1
"ZIPCODE":"55057","TOTALCUSTOMERS":8604,"CUSTOMERSOUT":1
"ZIPCODE":"55082","TOTALCUSTOMERS":16755,"CUSTOMERSOUT":8
