"ZIPCODE":"56216","TOTALCUSTOMERS":189,"CUSTOMERSOUT":6
"ZIPCODE":"56265","TOTALCUSTOMERS":3368,"CUSTOMERSOUT":2
"ZIPCODE":"56297","TOTALCUSTOMERS":302,"CUSTOMERSOUT":1
"ZIPCODE":"56301","TOTALCUSTOMERS":13227,"CUSTOMERSOUT":3
"ZIPCODE":"58703","TOTALCUSTOMERS":9621,"CUSTOMERSOUT":15
"ZIPCODE":"79007","TOTALCUSTOMERS":8189,"CUSTOMERSOUT":0
"ZIPCODE":"79086","TOTALCUSTOMERS":1180,"CUSTOMERSOUT":1
"ZIPCODE":"79336","TOTALCUSTOMERS":7345,"CUSTOMERSOUT":1
"ZIPCODE":"79379","TOTALCUSTOMERS":312,"CUSTOMERSOUT":1
"ZIPCODE":"54564","TOTALCUSTOMERS":104,"CUSTOMERSOUT":19
"ZIPCODE":"54701","TOTALCUSTOMERS":17594,"CUSTOMERSOUT":178
"ZIPCODE":"54738","TOTALCUSTOMERS":501,"CUSTOMERSOUT":4
"ZIPCODE":"54871","TOTALCUSTOMERS":1074,"CUSTOMERSOUT":9
"ZIPCODE":"80012","TOTALCUSTOMERS":22486,"CUSTOMERSOUT":27
"ZIPCODE":"80020","TOTALCUSTOMERS":25795,"CUSTOMERSOUT":1
"ZIPCODE":"80026","TOTALCUSTOMERS":15750,"CUSTOMERSOUT":1
"ZIPCODE":"80129","TOTALCUSTOMERS":12497,"CUSTOMERSOUT":1
"ZIPCODE":"80130","TOTALCUSTOMERS":10428,"CUSTOMERSOUT":1
"ZIPCODE":"80205","TOTALCUSTOMERS":18771,"CUSTOMERSOUT":1
"ZIPCODE":"80207","TOTALCUSTOMERS":9304,"CUSTOMERSOUT":1
"ZIPCODE":"80211","TOTALCUSTOMERS":20514,"CUSTOMERSOUT":1
"ZIPCODE":"80224","TOTALCUSTOMERS":9314,"CUSTOMERSOUT":75
"ZIPCODE":"80226","TOTALCUSTOMERS":15175,"CUSTOMERSOUT":0
"ZIPCODE":"80228","TOTALCUSTOMERS":16812,"CUSTOMERSOUT":1
"ZIPCODE":"80238","TOTALCUSTOMERS":13524,"CUSTOMERSOUT":2
"ZIPCODE":"80249","TOTALCUSTOMERS":17513,"CUSTOMERSOUT":45
"ZIPCODE":"80301","TOTALCUSTOMERS":15297,"CUSTOMERSOUT":1
"ZIPCODE":"80403","TOTALCUSTOMERS":7618,"CUSTOMERSOUT":1
"ZIPCODE":"80424","TOTALCUSTOMERS":13325,"CUSTOMERSOUT":2
"ZIPCODE":"80429","TOTALCUSTOMERS":7,"CUSTOMERSOUT":2
"ZIPCODE":"80437","TOTALCUSTOMERS":135,"CUSTOMERSOUT":1
"ZIPCODE":"80439","TOTALCUSTOMERS":9852,"CUSTOMERSOUT":708
"ZIPCODE":"80440","TOTALCUSTOMERS":2169,"CUSTOMERSOUT":1
"ZIPCODE":"80550","TOTALCUSTOMERS":9916,"CUSTOMERSOUT":1
"ZIPCODE":"88201","TOTALCUSTOMERS":13165,"CUSTOMERSOUT":1
"ZIPCODE":"55071","TOTALCUSTOMERS":2492,"CUSTOMERSOUT":1
"ZIPCODE":"55082","TOTALCUSTOMERS":16873,"CUSTOMERSOUT":2
"ZIPCODE":"55104","TOTALCUSTOMERS":20778,"CUSTOMERSOUT":1
"ZIPCODE":"55110","TOTALCUSTOMERS":17004,"CUSTOMERSOUT":2
"ZIPCODE":"55111","TOTALCUSTOMERS":142,"CUSTOMERSOUT":54
"ZIPCODE":"55125","TOTALCUSTOMERS":19259,"CUSTOMERSOUT":1
"ZIPCODE":"55320","TOTALCUSTOMERS":709,"CUSTOMERSOUT":4
"ZIPCODE":"55369","TOTALCUSTOMERS":14771,"CUSTOMERSOUT":2
"ZIPCODE":"55387","TOTALCUSTOMERS":5753,"CUSTOMERSOUT":4
"ZIPCODE":"55410","TOTALCUSTOMERS":10058,"CUSTOMERSOUT":1
"ZIPCODE":"55417","TOTALCUSTOMERS":12379,"CUSTOMERSOUT":1
"ZIPCODE":"55430","TOTALCUSTOMERS":9283,"CUSTOMERSOUT":1
"ZIPCODE":"55431","TOTALCUSTOMERS":9882,"CUSTOMERSOUT":1
"ZIPCODE":"55432","TOTALCUSTOMERS":15712,"CUSTOMERSOUT":2
"ZIPCODE":"55450","TOTALCUSTOMERS":223,"CUSTOMERSOUT":2
