"ZIPCODE":"55065","TOTALCUSTOMERS":316,"CUSTOMERSOUT":11
"ZIPCODE":"55082","TOTALCUSTOMERS":16762,"CUSTOMERSOUT":10
"ZIPCODE":"55106","TOTALCUSTOMERS":20538,"CUSTOMERSOUT":13
"ZIPCODE":"55112","TOTALCUSTOMERS":20639,"CUSTOMERSOUT":1
"ZIPCODE":"55425","TOTALCUSTOMERS":5831,"CUSTOMERSOUT":2
"ZIPCODE":"55432","TOTALCUSTOMERS":15646,"CUSTOMERSOUT":1
"ZIPCODE":"55981","TOTALCUSTOMERS":2978,"CUSTOMERSOUT":56
"ZIPCODE":"56547","TOTALCUSTOMERS":631,"CUSTOMERSOUT":10
"ZIPCODE":"57104","TOTALCUSTOMERS":12668,"CUSTOMERSOUT":1
"ZIPCODE":"79040","TOTALCUSTOMERS":1025,"CUSTOMERSOUT":2
"ZIPCODE":"79064","TOTALCUSTOMERS":1255,"CUSTOMERSOUT":1
"ZIPCODE":"54661","TOTALCUSTOMERS":98,"CUSTOMERSOUT":1
"ZIPCODE":"54701","TOTALCUSTOMERS":17026,"CUSTOMERSOUT":112
"ZIPCODE":"54728","TOTALCUSTOMERS":1896,"CUSTOMERSOUT":2
"ZIPCODE":"54805","TOTALCUSTOMERS":743,"CUSTOMERSOUT":24
"ZIPCODE":"54829","TOTALCUSTOMERS":231,"CUSTOMERSOUT":51
"ZIPCODE":"54853","TOTALCUSTOMERS":931,"CUSTOMERSOUT":1
"ZIPCODE":"80014","TOTALCUSTOMERS":21712,"CUSTOMERSOUT":45
"ZIPCODE":"80215","TOTALCUSTOMERS":10431,"CUSTOMERSOUT":5
"ZIPCODE":"80216","TOTALCUSTOMERS":9513,"CUSTOMERSOUT":2
"ZIPCODE":"80219","TOTALCUSTOMERS":21048,"CUSTOMERSOUT":1
"ZIPCODE":"80224","TOTALCUSTOMERS":9315,"CUSTOMERSOUT":1
"ZIPCODE":"80226","TOTALCUSTOMERS":15154,"CUSTOMERSOUT":83
"ZIPCODE":"80227","TOTALCUSTOMERS":17517,"CUSTOMERSOUT":21
"ZIPCODE":"80238","TOTALCUSTOMERS":13058,"CUSTOMERSOUT":5
"ZIPCODE":"80301","TOTALCUSTOMERS":15226,"CUSTOMERSOUT":9
"ZIPCODE":"80303","TOTALCUSTOMERS":11512,"CUSTOMERSOUT":60
"ZIPCODE":"80452","TOTALCUSTOMERS":2232,"CUSTOMERSOUT":1
"ZIPCODE":"80524","TOTALCUSTOMERS":2523,"CUSTOMERSOUT":1
"ZIPCODE":"80543","TOTALCUSTOMERS":3128,"CUSTOMERSOUT":1
"ZIPCODE":"80550","TOTALCUSTOMERS":9673,"CUSTOMERSOUT":1
"ZIPCODE":"80610","TOTALCUSTOMERS":1905,"CUSTOMERSOUT":1
"ZIPCODE":"80620","TOTALCUSTOMERS":8254,"CUSTOMERSOUT":16
"ZIPCODE":"80624","TOTALCUSTOMERS":528,"CUSTOMERSOUT":16
"ZIPCODE":"80631","TOTALCUSTOMERS":20584,"CUSTOMERSOUT":29
"ZIPCODE":"80634","TOTALCUSTOMERS":26467,"CUSTOMERSOUT":1
"ZIPCODE":"80644","TOTALCUSTOMERS":1003,"CUSTOMERSOUT":946
"ZIPCODE":"80645","TOTALCUSTOMERS":2002,"CUSTOMERSOUT":1561
"ZIPCODE":"80650","TOTALCUSTOMERS":822,"CUSTOMERSOUT":1
"ZIPCODE":"81520","TOTALCUSTOMERS":5577,"CUSTOMERSOUT":1
"ZIPCODE":"81623","TOTALCUSTOMERS":3565,"CUSTOMERSOUT":30
"ZIPCODE":"88201","TOTALCUSTOMERS":13103,"CUSTOMERSOUT":0
"ZIPCODE":"88203","TOTALCUSTOMERS":12995,"CUSTOMERSOUT":1
"ZIPCODE":"88252","TOTALCUSTOMERS":2783,"CUSTOMERSOUT":13
"ZIPCODE":"88260","TOTALCUSTOMERS":47,"CUSTOMERSOUT":1
