"ZIPCODE":"55033","TOTALCUSTOMERS":9280,"CUSTOMERSOUT":135
"ZIPCODE":"55038","TOTALCUSTOMERS":8249,"CUSTOMERSOUT":1
"ZIPCODE":"55082","TOTALCUSTOMERS":16822,"CUSTOMERSOUT":16
"ZIPCODE":"55092","TOTALCUSTOMERS":2709,"CUSTOMERSOUT":1
"ZIPCODE":"55113","TOTALCUSTOMERS":21172,"CUSTOMERSOUT":1
"ZIPCODE":"55121","TOTALCUSTOMERS":4159,"CUSTOMERSOUT":4
"ZIPCODE":"55126","TOTALCUSTOMERS":13549,"CUSTOMERSOUT":1
"ZIPCODE":"55127","TOTALCUSTOMERS":5516,"CUSTOMERSOUT":3
"ZIPCODE":"55304","TOTALCUSTOMERS":6,"CUSTOMERSOUT":1
"ZIPCODE":"55305","TOTALCUSTOMERS":12161,"CUSTOMERSOUT":3
"ZIPCODE":"55378","TOTALCUSTOMERS":4257,"CUSTOMERSOUT":1
"ZIPCODE":"55414","TOTALCUSTOMERS":17724,"CUSTOMERSOUT":32
"ZIPCODE":"55419","TOTALCUSTOMERS":12281,"CUSTOMERSOUT":0
"ZIPCODE":"55422","TOTALCUSTOMERS":13753,"CUSTOMERSOUT":34
"ZIPCODE":"55431","TOTALCUSTOMERS":9776,"CUSTOMERSOUT":40
"ZIPCODE":"55441","TOTALCUSTOMERS":9726,"CUSTOMERSOUT":1
"ZIPCODE":"55449","TOTALCUSTOMERS":1560,"CUSTOMERSOUT":324
"ZIPCODE":"55987","TOTALCUSTOMERS":14701,"CUSTOMERSOUT":18
"ZIPCODE":"56172","TOTALCUSTOMERS":1286,"CUSTOMERSOUT":18
"ZIPCODE":"56303","TOTALCUSTOMERS":9878,"CUSTOMERSOUT":19
"ZIPCODE":"56320","TOTALCUSTOMERS":2970,"CUSTOMERSOUT":1
"ZIPCODE":"79072","TOTALCUSTOMERS":11048,"CUSTOMERSOUT":3
"ZIPCODE":"79097","TOTALCUSTOMERS":1046,"CUSTOMERSOUT":1
"ZIPCODE":"79313","TOTALCUSTOMERS":645,"CUSTOMERSOUT":1
"ZIPCODE":"54527","TOTALCUSTOMERS":365,"CUSTOMERSOUT":23
"ZIPCODE":"54572","TOTALCUSTOMERS":4,"CUSTOMERSOUT":1
"ZIPCODE":"54650","TOTALCUSTOMERS":7843,"CUSTOMERSOUT":31
"ZIPCODE":"54729","TOTALCUSTOMERS":15944,"CUSTOMERSOUT":4
"ZIPCODE":"54805","TOTALCUSTOMERS":744,"CUSTOMERSOUT":1
"ZIPCODE":"80011","TOTALCUSTOMERS":22535,"CUSTOMERSOUT":1
"ZIPCODE":"80016","TOTALCUSTOMERS":20971,"CUSTOMERSOUT":0
"ZIPCODE":"80018","TOTALCUSTOMERS":8253,"CUSTOMERSOUT":3
"ZIPCODE":"80019","TOTALCUSTOMERS":4218,"CUSTOMERSOUT":0
"ZIPCODE":"80022","TOTALCUSTOMERS":10755,"CUSTOMERSOUT":34
"ZIPCODE":"80025","TOTALCUSTOMERS":146,"CUSTOMERSOUT":1
"ZIPCODE":"80120","TOTALCUSTOMERS":14783,"CUSTOMERSOUT":8
"ZIPCODE":"80121","TOTALCUSTOMERS":7644,"CUSTOMERSOUT":3
"ZIPCODE":"80122","TOTALCUSTOMERS":14382,"CUSTOMERSOUT":70
"ZIPCODE":"80204","TOTALCUSTOMERS":18310,"CUSTOMERSOUT":21
"ZIPCODE":"80205","TOTALCUSTOMERS":18654,"CUSTOMERSOUT":2
"ZIPCODE":"80210","TOTALCUSTOMERS":18968,"CUSTOMERSOUT":25
"ZIPCODE":"80214","TOTALCUSTOMERS":14543,"CUSTOMERSOUT":2
"ZIPCODE":"80219","TOTALCUSTOMERS":21042,"CUSTOMERSOUT":1
"ZIPCODE":"80220","TOTALCUSTOMERS":17781,"CUSTOMERSOUT":2
"ZIPCODE":"80221","TOTALCUSTOMERS":16741,"CUSTOMERSOUT":3
"ZIPCODE":"80224","TOTALCUSTOMERS":9305,"CUSTOMERSOUT":0
"ZIPCODE":"80226","TOTALCUSTOMERS":15176,"CUSTOMERSOUT":8
"ZIPCODE":"80229","TOTALCUSTOMERS":21175,"CUSTOMERSOUT":1
"ZIPCODE":"80260","TOTALCUSTOMERS":13568,"CUSTOMERSOUT":4
"ZIPCODE":"80303","TOTALCUSTOMERS":11656,"CUSTOMERSOUT":15
"ZIPCODE":"80634","TOTALCUSTOMERS":26846,"CUSTOMERSOUT":1
"ZIPCODE":"88101","TOTALCUSTOMERS":19574,"CUSTOMERSOUT":8
"ZIPCODE":"88203","TOTALCUSTOMERS":13000,"CUSTOMERSOUT":1
