"ZIPCODE":"55014","TOTALCUSTOMERS":7265,"CUSTOMERSOUT":140
"ZIPCODE":"55125","TOTALCUSTOMERS":19243,"CUSTOMERSOUT":1
"ZIPCODE":"55305","TOTALCUSTOMERS":12165,"CUSTOMERSOUT":1
"ZIPCODE":"55368","TOTALCUSTOMERS":1068,"CUSTOMERSOUT":6
"ZIPCODE":"55373","TOTALCUSTOMERS":1115,"CUSTOMERSOUT":6
"ZIPCODE":"55397","TOTALCUSTOMERS":1244,"CUSTOMERSOUT":1
"ZIPCODE":"55408","TOTALCUSTOMERS":19666,"CUSTOMERSOUT":1
"ZIPCODE":"55436","TOTALCUSTOMERS":6652,"CUSTOMERSOUT":6
"ZIPCODE":"55441","TOTALCUSTOMERS":9731,"CUSTOMERSOUT":5
"ZIPCODE":"56001","TOTALCUSTOMERS":20703,"CUSTOMERSOUT":54
"ZIPCODE":"56151","TOTALCUSTOMERS":255,"CUSTOMERSOUT":1
"ZIPCODE":"56377","TOTALCUSTOMERS":6095,"CUSTOMERSOUT":4
"ZIPCODE":"57105","TOTALCUSTOMERS":11508,"CUSTOMERSOUT":1
"ZIPCODE":"79102","TOTALCUSTOMERS":4789,"CUSTOMERSOUT":11
"ZIPCODE":"79108","TOTALCUSTOMERS":6480,"CUSTOMERSOUT":2
"ZIPCODE":"79118","TOTALCUSTOMERS":14370,"CUSTOMERSOUT":6
"ZIPCODE":"54701","TOTALCUSTOMERS":17531,"CUSTOMERSOUT":10
"ZIPCODE":"80003","TOTALCUSTOMERS":15714,"CUSTOMERSOUT":8
"ZIPCODE":"80012","TOTALCUSTOMERS":22493,"CUSTOMERSOUT":21
"ZIPCODE":"80013","TOTALCUSTOMERS":27955,"CUSTOMERSOUT":19
"ZIPCODE":"80014","TOTALCUSTOMERS":21730,"CUSTOMERSOUT":1
"ZIPCODE":"80205","TOTALCUSTOMERS":18758,"CUSTOMERSOUT":79
"ZIPCODE":"80214","TOTALCUSTOMERS":14513,"CUSTOMERSOUT":20
"ZIPCODE":"80222","TOTALCUSTOMERS":12567,"CUSTOMERSOUT":2
"ZIPCODE":"80239","TOTALCUSTOMERS":15469,"CUSTOMERSOUT":1
"ZIPCODE":"80241","TOTALCUSTOMERS":13828,"CUSTOMERSOUT":0
"ZIPCODE":"80424","TOTALCUSTOMERS":13328,"CUSTOMERSOUT":2
"ZIPCODE":"80634","TOTALCUSTOMERS":27106,"CUSTOMERSOUT":11
"ZIPCODE":"80651","TOTALCUSTOMERS":2029,"CUSTOMERSOUT":2
"ZIPCODE":"81101","TOTALCUSTOMERS":7511,"CUSTOMERSOUT":1
"ZIPCODE":"81144","TOTALCUSTOMERS":3354,"CUSTOMERSOUT":2
"ZIPCODE":"81242","TOTALCUSTOMERS":926,"CUSTOMERSOUT":1
