"ZIPCODE":"80018","TOTALCUSTOMERS":7553,"CUSTOMERSOUT":33
"ZIPCODE":"80019","TOTALCUSTOMERS":3352,"CUSTOMERSOUT":1215
"ZIPCODE":"80119","TOTALCUSTOMERS":12,"CUSTOMERSOUT":2
"ZIPCODE":"80211","TOTALCUSTOMERS":20251,"CUSTOMERSOUT":1
"ZIPCODE":"80219","TOTALCUSTOMERS":21008,"CUSTOMERSOUT":3
"ZIPCODE":"80221","TOTALCUSTOMERS":16663,"CUSTOMERSOUT":1
"ZIPCODE":"80227","TOTALCUSTOMERS":17668,"CUSTOMERSOUT":0
"ZIPCODE":"80238","TOTALCUSTOMERS":12844,"CUSTOMERSOUT":1
"ZIPCODE":"80239","TOTALCUSTOMERS":15414,"CUSTOMERSOUT":2
"ZIPCODE":"80249","TOTALCUSTOMERS":15312,"CUSTOMERSOUT":2827
"ZIPCODE":"80403","TOTALCUSTOMERS":7576,"CUSTOMERSOUT":27
"ZIPCODE":"80723","TOTALCUSTOMERS":2936,"CUSTOMERSOUT":1
"ZIPCODE":"81152","TOTALCUSTOMERS":786,"CUSTOMERSOUT":21
"ZIPCODE":null,"TOTALCUSTOMERS":null,"CUSTOMERSOUT":13
"ZIPCODE":"88220","TOTALCUSTOMERS":21558,"CUSTOMERSOUT":1
"ZIPCODE":"88231","TOTALCUSTOMERS":3405,"CUSTOMERSOUT":1
"ZIPCODE":"55301","TOTALCUSTOMERS":2702,"CUSTOMERSOUT":1
"ZIPCODE":"55317","TOTALCUSTOMERS":7438,"CUSTOMERSOUT":1
"ZIPCODE":"55390","TOTALCUSTOMERS":1023,"CUSTOMERSOUT":1
"ZIPCODE":"55403","TOTALCUSTOMERS":11270,"CUSTOMERSOUT":36
"ZIPCODE":"55439","TOTALCUSTOMERS":4684,"CUSTOMERSOUT":1
"ZIPCODE":"55441","TOTALCUSTOMERS":9505,"CUSTOMERSOUT":482
"ZIPCODE":"55446","TOTALCUSTOMERS":7096,"CUSTOMERSOUT":44
"ZIPCODE":"55447","TOTALCUSTOMERS":10170,"CUSTOMERSOUT":94
"ZIPCODE":"56096","TOTALCUSTOMERS":1614,"CUSTOMERSOUT":24
"ZIPCODE":"79107","TOTALCUSTOMERS":12842,"CUSTOMERSOUT":8
"ZIPCODE":"54601","TOTALCUSTOMERS":22824,"CUSTOMERSOUT":54
"ZIPCODE":"80011","TOTALCUSTOMERS":21941,"CUSTOMERSOUT":154
"ZIPCODE":"80012","TOTALCUSTOMERS":22610,"CUSTOMERSOUT":1
"ZIPCODE":"80015","TOTALCUSTOMERS":12557,"CUSTOMERSOUT":18
