"ZIPCODE":"55033","TOTALCUSTOMERS":9316,"CUSTOMERSOUT":16
"ZIPCODE":"55075","TOTALCUSTOMERS":9724,"CUSTOMERSOUT":13
"ZIPCODE":"55082","TOTALCUSTOMERS":16893,"CUSTOMERSOUT":196
"ZIPCODE":"55109","TOTALCUSTOMERS":9725,"CUSTOMERSOUT":2
"ZIPCODE":"55113","TOTALCUSTOMERS":21249,"CUSTOMERSOUT":1
"ZIPCODE":"55115","TOTALCUSTOMERS":3885,"CUSTOMERSOUT":6
"ZIPCODE":"55345","TOTALCUSTOMERS":9635,"CUSTOMERSOUT":1
"ZIPCODE":"55368","TOTALCUSTOMERS":1067,"CUSTOMERSOUT":1
"ZIPCODE":"55374","TOTALCUSTOMERS":7327,"CUSTOMERSOUT":2
"ZIPCODE":"55376","TOTALCUSTOMERS":7556,"CUSTOMERSOUT":1
"ZIPCODE":"55388","TOTALCUSTOMERS":2619,"CUSTOMERSOUT":1
"ZIPCODE":"55391","TOTALCUSTOMERS":8178,"CUSTOMERSOUT":2
"ZIPCODE":"55412","TOTALCUSTOMERS":9349,"CUSTOMERSOUT":21
"ZIPCODE":"55415","TOTALCUSTOMERS":4786,"CUSTOMERSOUT":2
"ZIPCODE":"55416","TOTALCUSTOMERS":22107,"CUSTOMERSOUT":9
"ZIPCODE":"55419","TOTALCUSTOMERS":12375,"CUSTOMERSOUT":19
"ZIPCODE":"55426","TOTALCUSTOMERS":13266,"CUSTOMERSOUT":1
"ZIPCODE":"55428","TOTALCUSTOMERS":14135,"CUSTOMERSOUT":1
"ZIPCODE":"55432","TOTALCUSTOMERS":15719,"CUSTOMERSOUT":1
"ZIPCODE":"55437","TOTALCUSTOMERS":9637,"CUSTOMERSOUT":17
"ZIPCODE":"58251","TOTALCUSTOMERS":794,"CUSTOMERSOUT":5
"ZIPCODE":"57032","TOTALCUSTOMERS":3679,"CUSTOMERSOUT":1
"ZIPCODE":"79013","TOTALCUSTOMERS":1255,"CUSTOMERSOUT":1
"ZIPCODE":"79041","TOTALCUSTOMERS":1117,"CUSTOMERSOUT":9
"ZIPCODE":"79068","TOTALCUSTOMERS":2159,"CUSTOMERSOUT":1
"ZIPCODE":"79235","TOTALCUSTOMERS":653,"CUSTOMERSOUT":1
"ZIPCODE":null,"TOTALCUSTOMERS":null,"CUSTOMERSOUT":1
"ZIPCODE":"54009","TOTALCUSTOMERS":939,"CUSTOMERSOUT":2
"ZIPCODE":"54812","TOTALCUSTOMERS":292,"CUSTOMERSOUT":1
"ZIPCODE":"54853","TOTALCUSTOMERS":924,"CUSTOMERSOUT":1
"ZIPCODE":"54876","TOTALCUSTOMERS":1816,"CUSTOMERSOUT":2
"ZIPCODE":"80022","TOTALCUSTOMERS":10761,"CUSTOMERSOUT":1898
"ZIPCODE":"80102","TOTALCUSTOMERS":268,"CUSTOMERSOUT":1
"ZIPCODE":"80111","TOTALCUSTOMERS":15539,"CUSTOMERSOUT":10
"ZIPCODE":"80123","TOTALCUSTOMERS":22173,"CUSTOMERSOUT":1
"ZIPCODE":"80125","TOTALCUSTOMERS":5681,"CUSTOMERSOUT":1
"ZIPCODE":"80205","TOTALCUSTOMERS":18800,"CUSTOMERSOUT":20
"ZIPCODE":"80218","TOTALCUSTOMERS":12288,"CUSTOMERSOUT":19
"ZIPCODE":"80219","TOTALCUSTOMERS":21053,"CUSTOMERSOUT":14
"ZIPCODE":"80222","TOTALCUSTOMERS":12577,"CUSTOMERSOUT":13
"ZIPCODE":"80228","TOTALCUSTOMERS":16829,"CUSTOMERSOUT":39
"ZIPCODE":"80233","TOTALCUSTOMERS":18700,"CUSTOMERSOUT":1
"ZIPCODE":"80304","TOTALCUSTOMERS":13222,"CUSTOMERSOUT":5
"ZIPCODE":"80305","TOTALCUSTOMERS":7623,"CUSTOMERSOUT":1
"ZIPCODE":"80401","TOTALCUSTOMERS":20841,"CUSTOMERSOUT":9
"ZIPCODE":"80420","TOTALCUSTOMERS":925,"CUSTOMERSOUT":32
"ZIPCODE":"80440","TOTALCUSTOMERS":2173,"CUSTOMERSOUT":517
"ZIPCODE":"80444","TOTALCUSTOMERS":1083,"CUSTOMERSOUT":2
"ZIPCODE":"80461","TOTALCUSTOMERS":4412,"CUSTOMERSOUT":2
"ZIPCODE":"80610","TOTALCUSTOMERS":1900,"CUSTOMERSOUT":0
"ZIPCODE":"80651","TOTALCUSTOMERS":2026,"CUSTOMERSOUT":1
"ZIPCODE":"80701","TOTALCUSTOMERS":197,"CUSTOMERSOUT":1
"ZIPCODE":"80723","TOTALCUSTOMERS":2946,"CUSTOMERSOUT":1
"ZIPCODE":"81149","TOTALCUSTOMERS":559,"CUSTOMERSOUT":3
"ZIPCODE":"81155","TOTALCUSTOMERS":166,"CUSTOMERSOUT":141
"ZIPCODE":"81201","TOTALCUSTOMERS":6142,"CUSTOMERSOUT":2
"ZIPCODE":"88240","TOTALCUSTOMERS":21343,"CUSTOMERSOUT":13
"ZIPCODE":"88252","TOTALCUSTOMERS":2803,"CUSTOMERSOUT":1
