"ZIPCODE":"55068","TOTALCUSTOMERS":9402,"CUSTOMERSOUT":22
"ZIPCODE":"55082","TOTALCUSTOMERS":16995,"CUSTOMERSOUT":3
"ZIPCODE":"55110","TOTALCUSTOMERS":17028,"CUSTOMERSOUT":1
"ZIPCODE":"55112","TOTALCUSTOMERS":20869,"CUSTOMERSOUT":8
"ZIPCODE":"55117","TOTALCUSTOMERS":18581,"CUSTOMERSOUT":1
"ZIPCODE":"55316","TOTALCUSTOMERS":6672,"CUSTOMERSOUT":12
"ZIPCODE":"55321","TOTALCUSTOMERS":1365,"CUSTOMERSOUT":1
"ZIPCODE":"55387","TOTALCUSTOMERS":5852,"CUSTOMERSOUT":1
"ZIPCODE":"55412","TOTALCUSTOMERS":9351,"CUSTOMERSOUT":1
"ZIPCODE":"55414","TOTALCUSTOMERS":18795,"CUSTOMERSOUT":1
"ZIPCODE":"55419","TOTALCUSTOMERS":12431,"CUSTOMERSOUT":1
"ZIPCODE":"55420","TOTALCUSTOMERS":10847,"CUSTOMERSOUT":1
"ZIPCODE":"55423","TOTALCUSTOMERS":18141,"CUSTOMERSOUT":1
"ZIPCODE":"55426","TOTALCUSTOMERS":13277,"CUSTOMERSOUT":3
"ZIPCODE":"55429","TOTALCUSTOMERS":11422,"CUSTOMERSOUT":2
"ZIPCODE":"55436","TOTALCUSTOMERS":6679,"CUSTOMERSOUT":1
"ZIPCODE":"55441","TOTALCUSTOMERS":9753,"CUSTOMERSOUT":15
"ZIPCODE":"79086","TOTALCUSTOMERS":1180,"CUSTOMERSOUT":2
"ZIPCODE":"79124","TOTALCUSTOMERS":5878,"CUSTOMERSOUT":1
"ZIPCODE":"54703","TOTALCUSTOMERS":20790,"CUSTOMERSOUT":1
"ZIPCODE":"54720","TOTALCUSTOMERS":3831,"CUSTOMERSOUT":10
"ZIPCODE":"80004","TOTALCUSTOMERS":15421,"CUSTOMERSOUT":1
"ZIPCODE":"80011","TOTALCUSTOMERS":23375,"CUSTOMERSOUT":4
"ZIPCODE":"80012","TOTALCUSTOMERS":22688,"CUSTOMERSOUT":6
"ZIPCODE":"80014","TOTALCUSTOMERS":21740,"CUSTOMERSOUT":1
"ZIPCODE":"80016","TOTALCUSTOMERS":21581,"CUSTOMERSOUT":1
"ZIPCODE":"80018","TOTALCUSTOMERS":9646,"CUSTOMERSOUT":8
"ZIPCODE":"80019","TOTALCUSTOMERS":5940,"CUSTOMERSOUT":82
"ZIPCODE":"80219","TOTALCUSTOMERS":21035,"CUSTOMERSOUT":9
"ZIPCODE":"80249","TOTALCUSTOMERS":18226,"CUSTOMERSOUT":2
"ZIPCODE":"88201","TOTALCUSTOMERS":13188,"CUSTOMERSOUT":1
"ZIPCODE":"88203","TOTALCUSTOMERS":13045,"CUSTOMERSOUT":41
"ZIPCODE":"88220","TOTALCUSTOMERS":22397,"CUSTOMERSOUT":1
"ZIPCODE":"88240","TOTALCUSTOMERS":21372,"CUSTOMERSOUT":1
