"ZIPCODE":"54563","TOTALCUSTOMERS":340,"CUSTOMERSOUT":240
"ZIPCODE":"54658","TOTALCUSTOMERS":792,"CUSTOMERSOUT":1
"ZIPCODE":"54701","TOTALCUSTOMERS":16942,"CUSTOMERSOUT":12
"ZIPCODE":"54703","TOTALCUSTOMERS":19792,"CUSTOMERSOUT":37
"ZIPCODE":"54720","TOTALCUSTOMERS":3544,"CUSTOMERSOUT":1
"ZIPCODE":"54729","TOTALCUSTOMERS":15693,"CUSTOMERSOUT":60
"ZIPCODE":"54739","TOTALCUSTOMERS":892,"CUSTOMERSOUT":1
"ZIPCODE":"54751","TOTALCUSTOMERS":9685,"CUSTOMERSOUT":21
"ZIPCODE":"54757","TOTALCUSTOMERS":492,"CUSTOMERSOUT":2
"ZIPCODE":"54763","TOTALCUSTOMERS":364,"CUSTOMERSOUT":18
"ZIPCODE":"54766","TOTALCUSTOMERS":288,"CUSTOMERSOUT":1
"ZIPCODE":"54806","TOTALCUSTOMERS":5193,"CUSTOMERSOUT":1
"ZIPCODE":"54817","TOTALCUSTOMERS":1844,"CUSTOMERSOUT":13
"ZIPCODE":"54819","TOTALCUSTOMERS":959,"CUSTOMERSOUT":362
"ZIPCODE":"54821","TOTALCUSTOMERS":927,"CUSTOMERSOUT":218
"ZIPCODE":"54822","TOTALCUSTOMERS":1163,"CUSTOMERSOUT":1
"ZIPCODE":"54829","TOTALCUSTOMERS":232,"CUSTOMERSOUT":2
"ZIPCODE":"54832","TOTALCUSTOMERS":175,"CUSTOMERSOUT":2
"ZIPCODE":"54835","TOTALCUSTOMERS":2,"CUSTOMERSOUT":2
"ZIPCODE":"54843","TOTALCUSTOMERS":5728,"CUSTOMERSOUT":1399
"ZIPCODE":"54848","TOTALCUSTOMERS":2597,"CUSTOMERSOUT":458
"ZIPCODE":"54868","TOTALCUSTOMERS":1372,"CUSTOMERSOUT":8
"ZIPCODE":"54871","TOTALCUSTOMERS":1054,"CUSTOMERSOUT":1
"ZIPCODE":"54875","TOTALCUSTOMERS":141,"CUSTOMERSOUT":140
"ZIPCODE":"54876","TOTALCUSTOMERS":1801,"CUSTOMERSOUT":1205
"ZIPCODE":"54888","TOTALCUSTOMERS":216,"CUSTOMERSOUT":188
"ZIPCODE":"54891","TOTALCUSTOMERS":1539,"CUSTOMERSOUT":1
"ZIPCODE":"54895","TOTALCUSTOMERS":234,"CUSTOMERSOUT":233
"ZIPCODE":"56843","TOTALCUSTOMERS":1,"CUSTOMERSOUT":1
"ZIPCODE":"80022","TOTALCUSTOMERS":10718,"CUSTOMERSOUT":1
"ZIPCODE":"80204","TOTALCUSTOMERS":17557,"CUSTOMERSOUT":3
"ZIPCODE":"80301","TOTALCUSTOMERS":15257,"CUSTOMERSOUT":27
"ZIPCODE":"80501","TOTALCUSTOMERS":55,"CUSTOMERSOUT":2
"ZIPCODE":"80524","TOTALCUSTOMERS":2521,"CUSTOMERSOUT":1
"ZIPCODE":"55001","TOTALCUSTOMERS":1469,"CUSTOMERSOUT":13
"ZIPCODE":"55014","TOTALCUSTOMERS":7264,"CUSTOMERSOUT":1
"ZIPCODE":"55073","TOTALCUSTOMERS":1407,"CUSTOMERSOUT":2
"ZIPCODE":"55082","TOTALCUSTOMERS":16646,"CUSTOMERSOUT":81
"ZIPCODE":"55106","TOTALCUSTOMERS":20506,"CUSTOMERSOUT":1
"ZIPCODE":"58103","TOTALCUSTOMERS":22937,"CUSTOMERSOUT":352
"ZIPCODE":"54001","TOTALCUSTOMERS":2788,"CUSTOMERSOUT":21
"ZIPCODE":"54005","TOTALCUSTOMERS":1032,"CUSTOMERSOUT":1
"ZIPCODE":"54015","TOTALCUSTOMERS":1356,"CUSTOMERSOUT":15
"ZIPCODE":"54017","TOTALCUSTOMERS":1625,"CUSTOMERSOUT":1
"ZIPCODE":"54025","TOTALCUSTOMERS":2448,"CUSTOMERSOUT":1
"ZIPCODE":"54421","TOTALCUSTOMERS":1245,"CUSTOMERSOUT":1
"ZIPCODE":"54526","TOTALCUSTOMERS":215,"CUSTOMERSOUT":211
"ZIPCODE":"54538","TOTALCUSTOMERS":8,"CUSTOMERSOUT":0
