"ZIPCODE":"55042","TOTALCUSTOMERS":6601,"CUSTOMERSOUT":77
"ZIPCODE":"55130","TOTALCUSTOMERS":5628,"CUSTOMERSOUT":11
"ZIPCODE":"55308","TOTALCUSTOMERS":964,"CUSTOMERSOUT":1
"ZIPCODE":"55331","TOTALCUSTOMERS":9687,"CUSTOMERSOUT":2
"ZIPCODE":"55364","TOTALCUSTOMERS":6928,"CUSTOMERSOUT":5
"ZIPCODE":"55385","TOTALCUSTOMERS":346,"CUSTOMERSOUT":4
"ZIPCODE":"55410","TOTALCUSTOMERS":10076,"CUSTOMERSOUT":0
"ZIPCODE":"55416","TOTALCUSTOMERS":22162,"CUSTOMERSOUT":1
"ZIPCODE":"55421","TOTALCUSTOMERS":13446,"CUSTOMERSOUT":14
"ZIPCODE":"55424","TOTALCUSTOMERS":4347,"CUSTOMERSOUT":1
"ZIPCODE":"55426","TOTALCUSTOMERS":13267,"CUSTOMERSOUT":1
"ZIPCODE":"55429","TOTALCUSTOMERS":11452,"CUSTOMERSOUT":1
"ZIPCODE":"55449","TOTALCUSTOMERS":1631,"CUSTOMERSOUT":1
"ZIPCODE":"56519","TOTALCUSTOMERS":86,"CUSTOMERSOUT":9
"ZIPCODE":"57106","TOTALCUSTOMERS":17253,"CUSTOMERSOUT":1
"ZIPCODE":"79373","TOTALCUSTOMERS":1479,"CUSTOMERSOUT":1
"ZIPCODE":"54020","TOTALCUSTOMERS":2069,"CUSTOMERSOUT":1
"ZIPCODE":"54603","TOTALCUSTOMERS":8418,"CUSTOMERSOUT":4
"ZIPCODE":"54701","TOTALCUSTOMERS":17615,"CUSTOMERSOUT":18
"ZIPCODE":"54729","TOTALCUSTOMERS":16181,"CUSTOMERSOUT":10
"ZIPCODE":"54758","TOTALCUSTOMERS":1124,"CUSTOMERSOUT":11
"ZIPCODE":"80005","TOTALCUSTOMERS":12082,"CUSTOMERSOUT":1
"ZIPCODE":"80010","TOTALCUSTOMERS":15655,"CUSTOMERSOUT":1
"ZIPCODE":"80021","TOTALCUSTOMERS":19491,"CUSTOMERSOUT":98
"ZIPCODE":"80125","TOTALCUSTOMERS":5863,"CUSTOMERSOUT":2
"ZIPCODE":"80211","TOTALCUSTOMERS":20726,"CUSTOMERSOUT":16
"ZIPCODE":"80219","TOTALCUSTOMERS":21088,"CUSTOMERSOUT":1
"ZIPCODE":"80221","TOTALCUSTOMERS":16817,"CUSTOMERSOUT":199
"ZIPCODE":"80228","TOTALCUSTOMERS":16841,"CUSTOMERSOUT":11
"ZIPCODE":"80229","TOTALCUSTOMERS":21229,"CUSTOMERSOUT":1
"ZIPCODE":"80233","TOTALCUSTOMERS":18698,"CUSTOMERSOUT":1
"ZIPCODE":"80302","TOTALCUSTOMERS":13170,"CUSTOMERSOUT":2
"ZIPCODE":"80401","TOTALCUSTOMERS":20852,"CUSTOMERSOUT":2
"ZIPCODE":"80524","TOTALCUSTOMERS":2533,"CUSTOMERSOUT":4
"ZIPCODE":"80631","TOTALCUSTOMERS":21004,"CUSTOMERSOUT":1
"ZIPCODE":"80723","TOTALCUSTOMERS":2954,"CUSTOMERSOUT":1
"ZIPCODE":"81144","TOTALCUSTOMERS":3361,"CUSTOMERSOUT":30
"ZIPCODE":"81501","TOTALCUSTOMERS":12665,"CUSTOMERSOUT":1
"ZIPCODE":"81503","TOTALCUSTOMERS":7801,"CUSTOMERSOUT":16
"ZIPCODE":"81507","TOTALCUSTOMERS":5005,"CUSTOMERSOUT":16
"ZIPCODE":"88101","TOTALCUSTOMERS":19668,"CUSTOMERSOUT":1
"ZIPCODE":"88201","TOTALCUSTOMERS":13152,"CUSTOMERSOUT":1339
"ZIPCODE":"88203","TOTALCUSTOMERS":12974,"CUSTOMERSOUT":2
