"ZIPCODE":"55112","TOTALCUSTOMERS":20387,"CUSTOMERSOUT":5
"ZIPCODE":"55130","TOTALCUSTOMERS":5570,"CUSTOMERSOUT":1
"ZIPCODE":"55413","TOTALCUSTOMERS":8422,"CUSTOMERSOUT":45
"ZIPCODE":"79336","TOTALCUSTOMERS":7357,"CUSTOMERSOUT":18
"ZIPCODE":"79379","TOTALCUSTOMERS":310,"CUSTOMERSOUT":2
"ZIPCODE":"54729","TOTALCUSTOMERS":15637,"CUSTOMERSOUT":2
"ZIPCODE":"80033","TOTALCUSTOMERS":15088,"CUSTOMERSOUT":1
"ZIPCODE":"80645","TOTALCUSTOMERS":2007,"CUSTOMERSOUT":1
"ZIPCODE":"81248","TOTALCUSTOMERS":33,"CUSTOMERSOUT":1
