"ZIPCODE":"55112","TOTALCUSTOMERS":20864,"CUSTOMERSOUT":154
"ZIPCODE":"55119","TOTALCUSTOMERS":17103,"CUSTOMERSOUT":8
"ZIPCODE":"55125","TOTALCUSTOMERS":19334,"CUSTOMERSOUT":1
"ZIPCODE":"55387","TOTALCUSTOMERS":5857,"CUSTOMERSOUT":1
"ZIPCODE":"55406","TOTALCUSTOMERS":18173,"CUSTOMERSOUT":15
"ZIPCODE":"55407","TOTALCUSTOMERS":17171,"CUSTOMERSOUT":1
"ZIPCODE":"55426","TOTALCUSTOMERS":13287,"CUSTOMERSOUT":3
"ZIPCODE":"56536","TOTALCUSTOMERS":170,"CUSTOMERSOUT":1
"ZIPCODE":"58103","TOTALCUSTOMERS":23346,"CUSTOMERSOUT":12
"ZIPCODE":"79065","TOTALCUSTOMERS":11138,"CUSTOMERSOUT":1
"ZIPCODE":"79359","TOTALCUSTOMERS":1756,"CUSTOMERSOUT":1
"ZIPCODE":"80002","TOTALCUSTOMERS":11802,"CUSTOMERSOUT":1
"ZIPCODE":"80021","TOTALCUSTOMERS":20085,"CUSTOMERSOUT":1
"ZIPCODE":"80203","TOTALCUSTOMERS":14762,"CUSTOMERSOUT":79
"ZIPCODE":"80209","TOTALCUSTOMERS":14881,"CUSTOMERSOUT":88
"ZIPCODE":"80223","TOTALCUSTOMERS":11094,"CUSTOMERSOUT":1
"ZIPCODE":"80229","TOTALCUSTOMERS":21227,"CUSTOMERSOUT":2
"ZIPCODE":"80634","TOTALCUSTOMERS":27431,"CUSTOMERSOUT":15
"ZIPCODE":"88240","TOTALCUSTOMERS":21347,"CUSTOMERSOUT":1
