"ZIPCODE":"80011","TOTALCUSTOMERS":23375,"CUSTOMERSOUT":8
"ZIPCODE":"80021","TOTALCUSTOMERS":20016,"CUSTOMERSOUT":2
"ZIPCODE":"80241","TOTALCUSTOMERS":13835,"CUSTOMERSOUT":54
"ZIPCODE":"80439","TOTALCUSTOMERS":9886,"CUSTOMERSOUT":4
"ZIPCODE":"81120","TOTALCUSTOMERS":2056,"CUSTOMERSOUT":41
"ZIPCODE":"81141","TOTALCUSTOMERS":669,"CUSTOMERSOUT":3
"ZIPCODE":"81148","TOTALCUSTOMERS":283,"CUSTOMERSOUT":1
"ZIPCODE":"88231","TOTALCUSTOMERS":3339,"CUSTOMERSOUT":1
"ZIPCODE":"88401","TOTALCUSTOMERS":3474,"CUSTOMERSOUT":32
"ZIPCODE":"55043","TOTALCUSTOMERS":1704,"CUSTOMERSOUT":1
"ZIPCODE":"55056","TOTALCUSTOMERS":586,"CUSTOMERSOUT":6
"ZIPCODE":"55084","TOTALCUSTOMERS":951,"CUSTOMERSOUT":5
"ZIPCODE":"55112","TOTALCUSTOMERS":20876,"CUSTOMERSOUT":23
"ZIPCODE":"55343","TOTALCUSTOMERS":15777,"CUSTOMERSOUT":1
"ZIPCODE":"55356","TOTALCUSTOMERS":2421,"CUSTOMERSOUT":9
"ZIPCODE":"55387","TOTALCUSTOMERS":5849,"CUSTOMERSOUT":1
"ZIPCODE":"55391","TOTALCUSTOMERS":8200,"CUSTOMERSOUT":1
"ZIPCODE":"55407","TOTALCUSTOMERS":17192,"CUSTOMERSOUT":1
"ZIPCODE":"55411","TOTALCUSTOMERS":11022,"CUSTOMERSOUT":1
"ZIPCODE":"55418","TOTALCUSTOMERS":15624,"CUSTOMERSOUT":1
"ZIPCODE":"55425","TOTALCUSTOMERS":6518,"CUSTOMERSOUT":2
"ZIPCODE":"55445","TOTALCUSTOMERS":5945,"CUSTOMERSOUT":138
"ZIPCODE":"54456","TOTALCUSTOMERS":1920,"CUSTOMERSOUT":1
"ZIPCODE":"54614","TOTALCUSTOMERS":205,"CUSTOMERSOUT":1
