"ZIPCODE":"80439","TOTALCUSTOMERS":9789,"CUSTOMERSOUT":6
"ZIPCODE":"55090","TOTALCUSTOMERS":243,"CUSTOMERSOUT":2
"ZIPCODE":"55101","TOTALCUSTOMERS":5785,"CUSTOMERSOUT":1
"ZIPCODE":"55130","TOTALCUSTOMERS":5574,"CUSTOMERSOUT":14
"ZIPCODE":"55343","TOTALCUSTOMERS":13245,"CUSTOMERSOUT":1
"ZIPCODE":"88240","TOTALCUSTOMERS":21034,"CUSTOMERSOUT":7
"ZIPCODE":"88241","TOTALCUSTOMERS":138,"CUSTOMERSOUT":1
"ZIPCODE":"88256","TOTALCUSTOMERS":1590,"CUSTOMERSOUT":1
"ZIPCODE":"55406","TOTALCUSTOMERS":17555,"CUSTOMERSOUT":1
"ZIPCODE":"79034","TOTALCUSTOMERS":373,"CUSTOMERSOUT":2
"ZIPCODE":"79102","TOTALCUSTOMERS":4838,"CUSTOMERSOUT":1
"ZIPCODE":"80015","TOTALCUSTOMERS":12557,"CUSTOMERSOUT":1
"ZIPCODE":"80016","TOTALCUSTOMERS":20703,"CUSTOMERSOUT":8
"ZIPCODE":"80020","TOTALCUSTOMERS":24748,"CUSTOMERSOUT":1
"ZIPCODE":"80022","TOTALCUSTOMERS":10732,"CUSTOMERSOUT":37
"ZIPCODE":"80204","TOTALCUSTOMERS":17830,"CUSTOMERSOUT":1
"ZIPCODE":"80214","TOTALCUSTOMERS":14495,"CUSTOMERSOUT":0
"ZIPCODE":"80221","TOTALCUSTOMERS":16667,"CUSTOMERSOUT":88
